nuts,Annual Tiger Mosquito Climatic Suitability (-) ensemble None - RCP8.5 - (2011 - 2040)
DE50,71.912513478597
DE60,71.24976476033528
DE71,71.45221201578777
DE72,64.07735862731934
DE73,57.61604372660319
DE80,63.726444498697916
DE91,63.155753962198894
BG41,53.10683619181315
BG42,57.110072453816734
CH01,46.774441655476885
AT32,38.35465456644694
AT33,36.52331199645996
AT34,47.06037864685059
BE10,86.23405100504557
BE23,83.81207122802735
BE24,85.0531135559082
BE25,81.19351323445638
BE31,83.09209314982097
BE32,82.34440282185872
BE33,73.69999415079752
BE34,69.86950429280598
BE35,77.53305206298828
BG31,58.71683197021484
BG32,63.550734202067055
BG33,65.7009376525879
BG34,65.88246841430664
DE92,68.4741694132487
DE93,68.46821619669596
DE94,69.40693689982096
CZ07,48.75398241678874
CZ08,47.4953005472819
AL01,69.2777692159017
AL02,77.46185913085938
AL03,75.60148671468099
AT11,68.37682444254557
AT12,60.48128776550293
AT13,69.3485944112142
AT21,41.22472381591797
AT22,44.66580327351888
AT31,59.50668093363444
DK05,52.23077494303386
BE21,84.34756266276041
BE22,84.67085189819336
ES43,61.95592130025228
ES51,69.78431040445963
ES52,58.49252751668294
ES53,57.356178283691406
ES61,56.09382883707682
ES62,48.18028030395508
ES63,72.11480712890625
ES64,47.66278648376465
CH02,59.58877894083659
CH03,80.46107940673828
CH04,83.59598999023437
CH05,45.732439549763996
CH06,55.125969950358076
CH07,48.30866711934407
CY00,43.57162590026856
CZ01,56.886379623413085
CZ02,53.7443967183431
CZ03,52.49664357503255
CZ04,50.45404879252116
CZ05,54.422158559163414
CZ06,50.69035313924154
DE40,62.632006327311196
EL53,59.38440767923991
EL54,79.84530385335286
EL61,61.637333170572916
EL62,75.04091110229493
EL63,75.4345469156901
ES70,0.0
ITC1,68.4679791768392
ITC2,32.08795668284098
DE11,70.34605560302734
DE12,76.19263102213542
DE13,70.49423319498698
DE14,68.73660786946614
DE21,61.593722661336265
DE22,62.65925127665202
DE23,56.87217559814453
DE24,58.66871897379557
DE25,62.90711924235026
DE26,65.06913286844889
DE27,63.9660940806071
DE30,65.76409530639648
EL42,49.9739070892334
LV00,45.35031394958496
ME00,60.81280568440755
MK00,55.07251243591308
MT00,35.71836001078288
NL11,66.31947008768718
NL12,69.43976262410482
EL64,62.7008118947347
EL65,70.45996831258138
ES11,91.58337478637695
ES12,83.34075241088867
ES13,84.17853673299153
ES21,91.73189875284831
ES22,81.28229624430338
ES23,72.4159055074056
ES24,64.93920936584473
ES30,62.666042455037434
IE05,67.12615407307943
IE06,66.97751108805339
IS00,32.35824813842773
ITC3,87.72723541259765
FI19,29.86656551361084
FI1B,39.056329091389976
FI1C,36.86155624389649
DEA1,82.8037587483724
DEA2,75.82817408243815
DEA3,75.38919728597006
DEA4,66.62498168945312
DEA5,67.46615994771322
DEB1,70.25069758097331
DEB2,70.62495727539063
DEB3,77.56860707600912
DEC0,79.3428591410319
DED2,66.40363756815593
DED4,57.387566630045576
DED5,66.30498453776042
DEE0,60.176385498046876
DEF0,66.79608345031738
DEG0,56.93536605834961
DK01,49.93874066670735
DK02,53.76631507873535
DK03,57.80930620829265
DK04,54.74609667460124
ES41,75.30649490356446
ES42,61.587974039713544
HU23,69.1732411702474
HU31,52.75530878702799
HU32,56.12192344665527
HU33,57.468662643432616
IE04,66.46791712443034
EE00,41.80937487284343
EL30,45.13075281778971
EL41,56.13913154602051
EL43,64.31832593282064
EL51,62.79258499145508
EL52,55.8550048828125
FI20,24.534966659545898
FR10,92.91528523763021
FRB0,92.60934702555339
FRC1,90.10945205688476
FRC2,78.07134272257487
FRD1,83.92382151285807
FRD2,87.10963134765625
FRE1,81.65730743408203
FRE2,87.68021494547526
FRF1,79.72751948038737
NL13,68.4366216023763
NL21,72.83790384928385
NL22,76.55149002075196
NL23,75.02395248413086
NL31,75.8335355122884
NL32,74.34679718017578
ITG2,73.5973378499349
ITH1,26.921133359273274
ITH2,34.08239879608154
FRI3,96.19935862223308
FRJ1,83.18942693074544
FRJ2,90.11404749552409
FRK1,78.58234837849935
FRK2,75.64845097859701
FRL0,72.73436101277669
FRM0,85.1409812927246
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,57.206380971272786
TR32,63.588443247477215
TR33,62.70059750874837
HR03,80.62138849894205
HR02,77.67943216959635
HU11,52.79727923075358
HU12,53.5122573852539
HU21,61.557698822021486
HU22,69.32154922485351
PT16,89.052845509847
PT17,77.15983378092447
