nuts,Summer Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,48.38673
DE60,53.63712
DE71,43.417347
DE72,45.300926
DE73,46.447895
DE80,49.10737
DE91,45.662697
BG41,56.351547
BG42,56.22254
CH01,87.585434
AT32,91.63114
AT33,92.68806
AT34,99.484795
BE10,44.441788
BE23,43.78415
BE24,45.259594
BE25,45.54437
BE31,45.117138
BE32,45.740345
BE33,51.247437
BE34,50.70831
BE35,48.316967
BG31,60.767437
BG32,58.877766
BG33,49.84349
BG34,50.47992
DE92,45.735584
DE93,50.09186
DE94,49.37768
CZ07,63.018402
CZ08,67.29907
AL01,54.26143
AL02,43.927364
AL03,35.994823
AT11,55.645847
AT12,61.154556
AT13,56.663826
AT21,82.39427
AT22,77.502525
AT31,78.354706
DK05,47.48859
BE21,44.00888
BE22,45.174488
ES43,18.2409
ES51,47.94022
ES52,28.301985
ES53,18.242254
ES61,17.748024
ES62,18.865133
ES63,12.868786
ES64,11.158282
CH02,84.82281
CH03,79.11645
CH04,75.808784
CH05,91.00525
CH06,102.87389
CH07,124.792015
CY00,5.186885
CZ01,57.69906
CZ02,55.132835
CZ03,59.539474
CZ04,54.70726
CZ05,57.062313
CZ06,55.864063
DE40,48.80669
EL53,33.81565
EL54,31.851604
EL61,37.085926
EL62,19.050978
EL63,24.200842
ES70,1.8758011
ITC1,84.259605
ITC2,79.346375
DE11,50.587654
DE12,50.932175
DE13,61.82958
DE14,67.86315
DE21,78.31492
DE22,60.735657
DE23,54.771015
DE24,49.093456
DE25,49.840084
DE26,44.76652
DE27,74.35287
DE30,45.69102
EL42,2.7568836
LV00,51.785606
ME00,56.968266
MK00,41.213104
MT00,4.5755863
NL11,50.78626
NL12,49.90395
EL64,25.96308
EL65,16.659101
ES11,43.45479
ES12,56.82546
ES13,53.35515
ES21,50.442257
ES22,49.44275
ES23,42.72108
ES24,42.418526
ES30,25.277927
IE05,48.406742
IE06,45.30248
IS00,54.65765
ITC3,57.773975
FI19,49.310764
FI1B,45.724113
FI1C,47.170048
DEA1,47.384872
DEA2,49.85674
DEA3,46.836155
DEA4,46.73761
DEA5,50.596424
DEB1,44.03254
DEB2,45.76323
DEB3,43.071407
DEC0,44.601944
DED2,58.19702
DED4,55.59381
DED5,48.603977
DEE0,45.08053
DEF0,49.405716
DEG0,48.189625
DK01,47.77879
DK02,48.03034
DK03,48.362038
DK04,47.20747
ES41,31.35
ES42,24.69936
