nuts,July Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,36.63752
DE60,38.874626
DE71,32.576572
DE72,34.168518
DE73,33.503307
DE80,34.19435
DE91,35.112354
BG41,37.909985
BG42,38.01724
CH01,63.497566
AT32,69.7657
AT33,72.03495
AT34,72.286125
BE10,33.4191
BE23,33.38629
BE24,34.226746
BE25,31.715767
BE31,34.655178
BE32,32.7945
BE33,38.482227
BE34,38.48853
BE35,36.437042
BG31,40.96505
BG32,39.556717
BG33,32.239273
BG34,34.215237
DE92,33.663868
DE93,36.120422
DE94,35.416466
CZ07,46.077023
CZ08,51.019882
AL01,29.567207
AL02,21.778042
AL03,16.453741
AT11,36.248726
AT12,44.807404
AT13,36.96846
AT21,62.803333
AT22,56.51107
AT31,58.05093
DK05,33.5765
BE21,35.36659
BE22,36.19172
ES43,5.481099
ES51,29.105139
ES52,11.641095
ES53,4.435575
ES61,4.7290497
ES62,6.3533087
ES63,2.7884963
ES64,2.9369211
CH02,64.437386
CH03,58.92299
CH04,56.408257
CH05,65.20171
CH06,78.19591
CH07,88.14138
CY00,1.2344855
CZ01,40.46351
CZ02,39.72264
CZ03,43.486324
CZ04,37.295918
CZ05,43.865047
CZ06,41.588028
DE40,35.843136
EL53,17.32818
EL54,13.2051115
EL61,17.512735
EL62,5.4683585
EL63,8.754496
ES70,1.2091794
ITC1,50.04499
ITC2,54.811153
DE11,38.552025
DE12,38.28769
DE13,47.317757
DE14,50.519444
DE21,59.010105
DE22,45.99299
DE23,40.749146
DE24,36.823105
DE25,37.360123
DE26,33.782074
DE27,55.37792
DE30,35.016163
EL42,0.4112791
LV00,39.70454
ME00,33.09666
MK00,22.783218
MT00,0.3721193
NL11,38.4093
NL12,37.296604
EL64,11.573006
EL65,5.026358
ES11,21.850777
ES12,38.861668
ES13,38.133614
ES21,35.073265
ES22,28.078255
ES23,25.795803
ES24,22.22596
ES30,11.931456
IE05,31.780598
IE06,30.755497
IS00,38.133568
ITC3,26.727459
FI19,38.118587
FI1B,34.11949
FI1C,35.02253
DEA1,35.175323
DEA2,36.69733
DEA3,34.626965
DEA4,32.43437
DEA5,36.967503
DEB1,31.646917
DEB2,33.373676
DEB3,31.027147
DEC0,33.598404
DED2,41.720577
DED4,39.280807
DED5,33.970146
DEE0,33.340675
