nuts,January Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,31.74227
DE60,31.799314
DE71,33.2439
DE72,33.740444
DE73,33.605114
DE80,25.12663
DE91,30.002285
BG41,27.88827
BG42,34.57053
CH01,67.260284
AT32,46.439888
AT33,46.727467
AT34,56.921154
BE10,31.500639
BE23,30.677692
BE24,31.639498
BE25,30.23966
BE31,32.30343
BE32,33.85135
BE33,40.112156
BE34,43.086025
BE35,38.33035
BG31,26.8522
BG32,26.72172
BG33,27.629944
BG34,32.966328
DE92,30.994518
DE93,30.012508
DE94,32.59328
CZ07,22.85887
CZ08,23.445656
AL01,73.941345
AL02,56.257202
AL03,54.222652
AT11,20.14306
AT12,24.707405
AT13,19.911919
AT21,36.92452
AT22,31.70921
AT31,42.37205
DK05,30.037476
BE21,31.41331
BE22,33.487644
ES43,34.870197
ES51,28.152697
ES52,23.76675
ES53,25.935226
ES61,30.589058
ES62,18.928638
ES63,44.192715
ES64,21.14949
CH02,57.750965
CH03,43.822994
CH04,45.289482
CH05,49.00829
CH06,56.692383
CH07,49.334232
CY00,37.03326
CZ01,18.96881
CZ02,21.773998
CZ03,26.908312
CZ04,26.203577
CZ05,26.119013
CZ06,20.33833
DE40,23.55759
EL53,33.831047
EL54,65.60176
EL61,51.56527
EL62,62.55567
EL63,63.276382
ES70,10.153738
ITC1,49.00562
ITC2,62.85396
DE11,36.0463
DE12,40.326927
DE13,45.31493
DE14,38.753212
DE21,37.85074
DE22,36.2741
DE23,35.01086
DE24,35.108673
DE25,34.03743
DE26,35.170235
DE27,41.09335
DE30,23.095861
EL42,46.373672
LV00,23.427143
ME00,77.100044
MK00,30.139503
MT00,40.0058
NL11,33.674248
NL12,33.58564
EL64,49.12118
EL65,48.484974
ES11,64.61648
ES12,53.571262
ES13,46.047085
ES21,49.180096
ES22,39.843357
ES23,27.975
ES24,24.306425
ES30,25.776447
IE05,42.231182
IE06,34.394382
IS00,62.964767
ITC3,52.061275
FI19,20.66052
FI1B,24.247551
FI1C,22.558601
DEA1,35.182587
DEA2,37.884857
DEA3,33.23506
DEA4,34.366856
DEA5,43.124447
DEB1,33.895527
DEB2,37.93196
DEB3,30.17584
DEC0,40.871098
DED2,26.719908
DED4,31.628326
DED5,25.983555
DEE0,23.798754
DEF0,31.561804
DEG0,28.795578
DK01,25.707268
DK02,25.218317
DK03,30.749516
DK04,28.967636
ES41,32.05474
ES42,23.570591
HU23,24.805862
HU31,21.610054
HU32,21.44812
HU33,21.134201
IE04,45.171032
EE00,22.17329
EL30,37.26988
EL41,53.213604
EL43,41.122276
EL51,39.916443
EL52,34.724426
FI20,21.528107
FR10,28.154207
FRB0,31.266401
FRC1,38.72001
FRC2,56.905754
FRD1,35.941463
FRD2,31.381313
FRE1,33.797874
FRE2,30.952309
FRF1,42.29057
NL13,31.663723
NL21,31.53199
NL22,30.431654
NL23,31.788729
NL31,30.503433
NL32,32.601227
ITG2,30.106369
ITH1,36.281174
ITH2,41.316685
FRI3,38.70012
FRJ1,42.762928
FRJ2,44.990997
FRK1,39.723106
FRK2,52.50749
FRL0,43.257214
FRM0,37.634075
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,57.080997
TR32,58.873177
TR33,34.554256
HR03,58.20355
HR02,31.579144
HU11,21.953377
HU12,21.658607
HU21,23.574287
HU22,22.673557
PT16,48.382046
PT17,36.12775
FRF2,38.38786
FRF3,42.902027
FRG0,35.23098
FRH0,38.955925
FRI1,45.52218
