nuts,July Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2071 - 2100)
DE50,38.445724
DE60,38.307503
DE71,32.86367
DE72,34.905533
DE73,35.40846
DE80,34.52999
DE91,38.99564
BG41,32.628517
BG42,29.94048
CH01,65.15767
AT32,71.20043
AT33,72.405396
AT34,78.84133
BE10,29.54561
BE23,31.018806
BE24,31.800203
BE25,30.56588
BE31,30.778374
BE32,30.647236
BE33,36.323277
BE34,33.492283
BE35,35.16046
BG31,35.879284
BG32,35.633038
BG33,29.98311
BG34,27.665829
DE92,35.236355
DE93,37.11666
DE94,38.005466
CZ07,53.107822
CZ08,54.091923
AL01,25.473665
AL02,18.733562
AL03,12.776834
AT11,42.572193
AT12,51.84344
AT13,46.608635
AT21,62.226715
AT22,59.36063
AT31,63.46524
DK05,32.56847
BE21,32.959126
BE22,33.612762
ES43,4.007681
ES51,20.566122
ES52,7.1590705
ES53,3.2741385
ES61,3.7677517
ES62,3.7299888
ES63,2.4051318
ES64,1.7783332
CH02,68.319016
CH03,65.753044
CH04,67.87094
CH05,73.08426
CH06,84.00602
CH07,80.39516
CY00,0.629449
CZ01,42.9897
CZ02,44.328136
CZ03,51.56944
CZ04,43.186657
CZ05,48.040783
CZ06,46.44427
DE40,39.37388
EL53,12.937541
EL54,10.142926
EL61,15.202817
EL62,4.7021155
EL63,8.117678
ES70,1.2474407
ITC1,45.932438
ITC2,51.01754
DE11,39.822502
DE12,40.451035
DE13,49.706745
DE14,57.989655
DE21,67.13884
DE22,54.293777
DE23,46.29605
DE24,38.030323
DE25,39.55853
DE26,35.482735
DE27,63.107857
DE30,37.569214
EL42,0.32026407
LV00,44.91004
ME00,28.366238
MK00,20.46634
MT00,0.33426428
NL11,40.03926
NL12,37.93359
EL64,9.969585
EL65,4.712958
ES11,18.250177
ES12,26.516808
ES13,25.698874
ES21,22.330105
ES22,21.144848
ES23,19.503193
ES24,18.333612
ES30,8.882503
IE05,30.405998
IE06,28.859886
IS00,41.17711
ITC3,18.513668
FI19,41.948288
FI1B,36.58194
FI1C,37.740864
DEA1,35.488667
DEA2,36.288025
DEA3,36.85827
DEA4,36.052727
DEA5,39.461105
DEB1,31.98663
DEB2,30.74181
DEB3,30.969765
DEC0,29.874191
DED2,45.61856
DED4,43.234722
DED5,38.7149
DEE0,38.193733
DEF0,38.655945
DEG0,37.58652
DK01,36.225864
DK02,34.172638
DK03,36.511
DK04,35.94102
ES41,12.873901
ES42,7.939749
