nuts,March Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP8.5 - (2011 - 2040)
DE50,25.275978
DE60,25.986712
DE71,28.979254
DE72,28.626556
DE73,28.430618
DE80,22.780783
DE91,26.732967
BG41,34.49783
BG42,40.935715
CH01,57.41013
AT32,51.32623
AT33,49.793076
AT34,56.034245
BE10,26.581713
BE23,25.216013
BE24,27.269667
BE25,24.838917
BE31,27.512589
BE32,28.03179
BE33,32.88717
BE34,34.67625
BE35,32.48788
BG31,32.230225
BG32,30.49839
BG33,28.843973
BG34,34.126472
DE92,27.48294
DE93,25.108473
DE94,26.79237
CZ07,26.26724
CZ08,26.372412
AL01,71.561424
AL02,54.645203
AL03,54.77062
AT11,25.204187
AT12,28.726671
AT13,24.05475
AT21,45.321007
AT22,37.899574
AT31,41.668476
DK05,21.831839
BE21,27.139404
BE22,28.972672
ES43,31.08908
ES51,32.74486
ES52,25.791473
ES53,19.638165
ES61,33.116085
ES62,25.067997
ES63,38.597733
ES64,29.32369
CH02,51.277023
CH03,40.91697
CH04,41.690987
CH05,47.893425
CH06,55.293774
CH07,61.607548
CY00,23.017677
CZ01,21.695309
CZ02,23.453856
CZ03,28.254902
CZ04,24.318487
CZ05,26.601027
CZ06,23.060892
DE40,23.228271
EL53,37.292175
EL54,62.7909
EL61,47.502274
EL62,53.565014
EL63,55.332344
ES70,8.3596115
ITC1,55.993835
ITC2,58.95424
DE11,35.335453
DE12,37.787704
DE13,40.43983
DE14,37.68431
DE21,41.3136
DE22,34.273193
DE23,30.942389
DE24,29.781162
DE25,31.218452
DE26,30.239576
DE27,41.122257
DE30,22.979189
EL42,33.823624
LV00,19.749104
ME00,70.709015
MK00,35.673515
MT00,20.688637
NL11,25.558321
NL12,25.409595
EL64,50.617176
EL65,43.34138
ES11,53.29467
ES12,49.522144
ES13,45.367336
ES21,46.412815
ES22,35.90778
ES23,28.29902
ES24,26.097036
ES30,27.042412
IE05,34.872124
IE06,28.54432
IS00,55.298607
ITC3,56.07998
FI19,17.507616
FI1B,19.691166
FI1C,18.758186
DEA1,29.874163
DEA2,31.852169
DEA3,29.490555
DEA4,30.366535
DEA5,34.87391
DEB1,29.283533
DEB2,30.428064
DEB3,29.162628
DEC0,32.73274
DED2,27.39121
DED4,28.748287
DED5,24.092363
DEE0,23.01343
DEF0,24.751616
DEG0,26.665777
DK01,20.932009
DK02,20.428204
DK03,23.287926
DK04,21.95688
ES41,28.73277
ES42,27.604183
HU23,24.79911
HU31,21.241657
HU32,23.124075
HU33,21.513855
IE04,35.51665
EE00,18.649765
EL30,39.20765
EL41,42.445576
EL43,31.701189
EL51,41.181465
