nuts,Autumn Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2071 - 2100)
DE50,44.597225
DE60,47.272915
DE71,48.87521
DE72,48.407227
DE73,45.76498
DE80,39.676865
DE91,43.542194
BG41,52.45929
BG42,57.82254
CH01,93.10077
AT32,79.63772
AT33,79.78052
AT34,84.6858
BE10,44.95602
BE23,45.647137
BE24,45.56869
BE25,46.913754
BE31,46.390316
BE32,45.46089
BE33,50.35093
BE34,53.330032
BE35,49.14315
BG31,52.11859
BG32,54.456444
BG33,59.99251
BG34,60.241596
DE92,44.14296
DE93,44.33225
DE94,49.716236
CZ07,49.863487
CZ08,53.065952
AL01,123.86666
AL02,94.45287
AL03,102.53879
AT11,54.875557
AT12,50.654293
AT13,48.838512
AT21,95.076706
AT22,66.74321
AT31,62.88841
DK05,48.86853
BE21,45.378433
BE22,47.220955
ES43,57.736485
ES51,71.30426
ES52,61.404182
ES53,52.489525
ES61,52.97107
ES62,46.429287
ES63,61.124786
ES64,37.510246
CH02,81.97507
CH03,67.9774
CH04,67.91903
CH05,87.9728
CH06,92.739525
CH07,146.59953
CY00,33.827156
CZ01,38.4374
CZ02,40.247375
CZ03,44.124382
CZ04,42.330166
CZ05,45.857624
CZ06,44.406178
DE40,36.861588
EL53,65.17678
EL54,118.99124
EL61,76.37701
EL62,123.94263
EL63,96.708
ES70,15.164815
ITC1,126.06973
ITC2,111.01634
DE11,51.879158
DE12,58.015472
DE13,62.264286
DE14,58.577175
DE21,62.419685
DE22,53.406616
DE23,49.770714
DE24,48.571674
DE25,50.098465
DE26,48.040245
DE27,63.49726
DE30,35.364006
EL42,44.38997
LV00,42.432552
ME00,135.74425
MK00,56.455425
MT00,65.49428
NL11,50.756687
NL12,60.444557
EL64,65.60863
EL65,60.639652
ES11,90.0464
ES12,74.87138
ES13,66.76532
ES21,66.82771
ES22,59.70818
ES23,44.404774
ES24,51.022667
ES30,47.84541
IE05,57.096386
IE06,49.655807
IS00,85.79918
ITC3,122.87746
FI19,40.87109
