nuts,August Maximum Consecutive Five-Day Precipitation (mm) ensemble median - RCP4.5 - (2011 - 2040)
DE50,36.075275
DE60,38.86637
DE71,32.063118
DE72,35.86402
DE73,36.653202
DE80,32.410767
DE91,33.28318
BG41,30.56654
BG42,24.94146
CH01,64.88593
AT32,67.106094
AT33,69.51569
AT34,76.11669
BE10,33.84937
BE23,36.375656
BE24,33.64045
BE25,36.27663
BE31,33.715637
BE32,34.746162
BE33,36.63258
BE34,35.895237
BE35,35.486362
BG31,33.903812
BG32,31.155136
BG33,25.923609
BG34,22.228579
DE92,33.29726
DE93,35.76291
DE94,35.928738
CZ07,41.16468
CZ08,44.590332
AL01,30.128687
AL02,23.521206
AL03,18.126114
AT11,36.948215
AT12,43.68974
AT13,36.986485
AT21,60.845917
AT22,54.894188
AT31,57.594578
DK05,35.80317
BE21,34.61387
BE22,33.29258
ES43,8.578819
ES51,34.00685
ES52,17.11213
ES53,11.850395
ES61,6.429685
ES62,8.944829
ES63,6.5110536
ES64,5.8951497
CH02,66.47665
CH03,59.126785
CH04,57.87974
CH05,66.12548
CH06,80.52035
CH07,82.276566
CY00,0.7626984
CZ01,42.104748
CZ02,40.66036
CZ03,44.389954
CZ04,40.165974
CZ05,41.952194
CZ06,38.624203
DE40,31.864916
EL53,17.863903
EL54,13.566322
EL61,18.50046
EL62,9.665316
EL63,11.559182
ES70,1.0979428
ITC1,52.565826
ITC2,50.617107
DE11,35.981007
DE12,36.882286
DE13,43.772324
DE14,49.662453
DE21,57.156807
DE22,47.43746
DE23,38.417454
DE24,36.673973
DE25,34.17325
DE26,32.159687
DE27,55.135983
DE30,30.422043
EL42,0.57424974
LV00,38.583767
ME00,32.612537
MK00,21.275885
MT00,3.2620015
NL11,37.24392
NL12,38.85761
EL64,12.496759
EL65,7.948252
ES11,24.708189
ES12,34.70015
ES13,33.07034
ES21,28.403112
ES22,29.809858
ES23,24.596474
ES24,26.682201
ES30,11.564341
IE05,36.69325
IE06,35.012814
IS00,44.015385
ITC3,33.30736
FI19,37.268528
FI1B,35.36463
FI1C,36.89457
DEA1,35.44149
DEA2,35.31868
DEA3,34.905846
DEA4,34.1594
DEA5,39.668148
DEB1,32.805573
DEB2,35.13163
DEB3,30.890497
DEC0,32.35299
DED2,44.20805
DED4,40.78283
DED5,33.590744
DEE0,32.005356
DEF0,37.767834
DEG0,35.491978
DK01,37.069427
DK02,36.59122
DK03,38.026306
DK04,36.008373
ES41,16.707598
ES42,11.594263
HU23,32.388527
HU31,32.82414
HU32,30.204432
HU33,29.467848
IE04,41.26485
EE00,38.346565
EL30,3.6462467
EL41,1.5111948
EL43,2.3821483
EL51,16.332355
EL52,21.207413
FI20,31.034374
FR10,28.50241
FRB0,26.797842
FRC1,34.85497
FRC2,47.345497
FRD1,29.267344
FRD2,30.55979
FRE1,34.01497
FRE2,31.125475
FRF1,39.9522
NL13,33.51721
NL21,32.646988
NL22,34.06541
NL23,34.999996
NL31,36.900852
NL32,40.12386
ITG2,7.4591517
ITH1,55.762245
ITH2,56.683987
FRI3,27.994713
FRJ1,33.72532
FRJ2,41.30907
FRK1,37.879066
