nuts,Autumn Fire Weather Index (-) (1981 - 2010)
DE50,3.2273155900376347
DE60,3.5460014112837586
DE71,4.6780656811570855
DE72,3.5839601982293376
DE73,3.3744126529544647
DE80,4.145995971866523
DE91,3.791593269248326
BG41,8.230885951228904
BG42,11.707274343198282
CH01,1.706511821738456
AT32,1.5025937833552196
AT33,1.535048408912356
AT34,1.582008207397358
BE10,4.565091903392441
BE23,4.383019797359966
BE24,4.439295297150116
BE25,4.471684750116912
BE31,4.388923494326701
BE32,4.39951604686305
BE33,3.4785726030172324
BE34,3.3880630574134725
BE35,3.615124656506014
BG31,10.476065668113598
BG32,9.803711022895973
BG33,10.237277641645878
BG34,11.094183132493301
DE92,3.7403608078715758
DE93,3.902623043774866
DE94,3.3270424190683063
CZ07,4.680718686427715
CZ08,4.29544023386068
AL01,7.322609130534932
AL02,10.36046958544752
AL03,10.93819458874392
AT11,6.10396003864443
AT12,5.308470838538773
AT13,7.0617956800213895
AT21,1.8742623174219237
AT22,2.3836790288709095
AT31,2.3784512365895893
DK05,3.419409329291945
BE21,4.27065380938861
BE22,4.1483191209095605
ES43,21.492666943392475
ES51,10.973493404133277
ES52,17.65934843420354
ES53,13.877369651885978
ES61,21.878777151551105
ES62,21.785869176820277
ES63,14.93988489852617
ES64,22.134212473108835
CH02,2.0356533312341893
CH03,2.7368952641728255
CH04,2.5494981545106383
CH05,1.8811462625905109
CH06,1.5590088150486097
CH07,2.296679899271509
CY00,24.833382118703504
CZ01,6.0716237275022555
CZ02,5.588287285660959
CZ03,3.8669763142509312
CZ04,4.642911140604477
CZ05,4.486249068318696
CZ06,5.881318596983073
DE40,5.229459484624356
EL53,12.969469551296502
EL54,11.373037278403798
EL61,13.389330230874393
EL62,10.492363546094676
EL63,14.219401265565786
ES70,22.257156931311254
ITC1,4.9660493157919
ITC2,2.555560896971748
DE11,3.854752254569189
DE12,4.089499412150755
DE13,3.276456390441092
DE14,2.5522479158689038
DE21,2.442469876279326
DE22,3.1261632029147677
DE23,3.4676815496532645
DE24,3.6575195354725243
DE25,4.026195302814382
DE26,4.227555654896671
DE27,2.5700006364890595
DE30,5.507799159044775
EL42,25.078350318273724
LV00,3.1472722823698636
ME00,5.92818358396276
MK00,11.737904116185161
MT00,15.827195833287783
NL11,3.13100150357389
NL12,2.889848988044316
EL64,18.190127474361805
EL65,19.86607721690496
ES11,8.382428005474639
ES12,4.018889226063014
ES13,5.504083717367265
ES21,6.560878266521717
ES22,11.930750588583956
ES23,12.801290534208576
ES24,16.739915595952926
ES30,19.966964610255946
IE05,2.7386240589936133
IE06,2.751630319093306
IS00,0.7486216847031341
ITC3,5.895972550009846
FI19,2.2400985989258233
FI1B,3.2743170561063746
FI1C,2.8054665128968854
DEA1,3.701566700124593
DEA2,3.5178303450029835
DEA3,3.704791673991462
DEA4,3.370462853504647
DEA5,3.0175047693330357
DEB1,4.038842658450225
DEB2,3.903521251954254
DEB3,4.9699056995923385
DEC0,4.164373781378996
DED2,4.512528171838134
DED4,3.809694299124375
DED5,5.54185674073645
DEE0,5.086332165323485
DEF0,3.5736734523877542
DEG0,4.177913410027176
DK01,3.7637670163688552
DK02,4.074392573127586
DK03,3.6591435107425783
DK04,3.449328318050049
ES41,15.61314897490762
ES42,21.424204626205647
HU23,7.313358755476062
HU31,8.259191479363798
HU32,9.198546892495449
HU33,9.249852210634053
IE04,2.0804988408343634
EE00,2.9542250081674837
EL30,24.05676130546708
EL41,24.209012611157668
EL43,24.75267249345457
EL51,15.737172160097666
EL52,12.873922853055138
FI20,3.3411848614908206
FR10,6.599770333111369
FRB0,7.4824930301015975
FRC1,5.116448512414797
FRC2,4.0550796945000664
FRD1,5.188606718485293
FRD2,5.462801191854833
FRE1,4.803306759686972
FRE2,5.388284448533829
FRF1,4.160888966533789
NL13,3.4031776406117826
NL21,3.53364657895078
NL22,3.5981018913767504
NL23,3.3256687432052217
NL31,3.551580508291829
NL32,3.029943104086159
ITG2,16.42997595388053
ITH1,2.135183330604022
ITH2,2.3023364657867273
FRI3,8.741825128216163
FRJ1,10.919420590963188
FRJ2,6.970862183205641
FRK1,5.245570060609799
FRK2,5.19579690259715
FRL0,10.944017872679723
FRM0,11.06222555089397
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,24.414847029064415
TR32,24.993456258782647
