nuts,October Fire Weather Index (-) (1981 - 2010)
DE50,2.473804300438852
DE60,2.7546719354474787
DE71,3.4591796969986732
DE72,2.5523773352453936
DE73,2.5981121699318765
DE80,3.351586664992941
DE91,3.1200751990066427
BG41,7.636882475440322
BG42,10.201114559742232
CH01,1.8165092858192957
AT32,1.743309312903994
AT33,1.7307460304605697
AT34,1.7058023551552528
BE10,4.115842252601574
BE23,3.8877253919716996
BE24,3.9639307668095802
BE25,3.930017654138035
BE31,3.959912032496475
BE32,3.9111266439542804
BE33,3.0209153430817035
BE34,2.9065633031237827
BE35,3.1929879600558553
BG31,9.121717263243632
BG32,8.364838350778225
BG33,8.658469539425516
BG34,9.387332205538515
DE92,2.891318162412355
DE93,2.9199851104076617
DE94,2.7124412956434583
CZ07,4.286642738897254
CZ08,4.151543325380755
AL01,6.07776816225126
AL02,8.951823810514663
AL03,9.334692009889357
AT11,5.81491043222968
AT12,5.223960159393879
AT13,6.908682914081894
AT21,1.9920543391288743
AT22,2.445232522020394
AT31,2.4897917318698473
DK05,2.8506069028365104
BE21,3.7067463941615157
BE22,3.5787494014730448
ES43,17.804570448025192
ES51,9.97611961632844
ES52,16.442614449661516
ES53,12.119354499339108
ES61,19.013027191688565
ES62,19.99937713915432
ES63,12.289813281525817
ES64,20.187935499533285
CH02,1.9979971524879225
CH03,2.4261304259849785
CH04,2.2139453640633446
CH05,1.8813641551705866
CH06,1.5478875140272976
CH07,2.1125735933649517
CY00,25.210310908462585
CZ01,5.742926109551842
CZ02,5.218826782539167
CZ03,3.7991066030398266
CZ04,4.245824924568035
CZ05,4.014881698654128
CZ06,5.559558418274556
DE40,4.519005686153265
EL53,11.47491344595887
EL54,9.638844494478155
EL61,11.99853998474738
EL62,9.0926853425968
EL63,12.682243044335797
ES70,21.629733964034372
ITC1,3.855572240490317
ITC2,1.9703080125582684
DE11,3.167927243437027
DE12,3.280402521651094
DE13,2.840243700923594
DE14,2.3880187295111357
DE21,2.3996006372738545
DE22,3.0339614341567693
DE23,3.1134571771792463
DE24,2.95755337904859
DE25,3.3208245092663424
DE26,3.1468616015792867
DE27,2.4415173331773303
DE30,4.812645394223348
EL42,25.85497882933887
LV00,2.186729720859674
ME00,4.92221890541464
MK00,10.3774736533399
MT00,14.454868024684956
NL11,2.8279218745508032
NL12,2.7633309354502376
EL64,17.31020786371752
EL65,19.591249706324437
ES11,6.439425520030773
ES12,3.3675253211400675
ES13,4.892865075599609
ES21,6.106189536804647
ES22,10.990473079485138
ES23,11.555401889650543
ES24,15.763041180229287
ES30,16.769190707050512
IE05,2.149944815909299
IE06,2.229735029126528
IS00,0.5134934290212906
ITC3,5.310914608677083
FI19,1.267641367682827
FI1B,2.3433590615711184
FI1C,1.8247723652021148
DEA1,2.981588771109509
DEA2,2.8658546492839987
DEA3,2.827963993663992
DEA4,2.5976056932551783
DEA5,2.3478816926544095
DEB1,3.1069222515708725
DEB2,3.0560737365980097
DEB3,3.933251413204589
DEC0,3.4291838697610464
DED2,4.064537254155062
DED4,3.5052732318787525
DED5,5.114603500538388
DEE0,4.593922705639547
DEF0,2.8790055645134403
DEG0,3.5792092053749442
