nuts,November Fire Weather Index (-) (1981 - 2010)
DE50,0.822992600778803
DE60,0.799189875903748
DE71,0.9069598725293168
DE72,0.7462507528333381
DE73,0.7783288155807309
DE80,1.0069897072974683
DE91,0.9351808296251299
BG41,3.801671288090866
BG42,5.0022506554585675
CH01,0.6480381510502561
AT32,0.69438689721657
AT33,0.7881391403220994
AT34,0.8804667501542852
BE10,1.516222760621303
BE23,1.4090205655113268
BE24,1.474711537768167
BE25,1.4062814840418139
BE31,1.4683512142020827
BE32,1.3543914893188707
BE33,1.0878188333969754
BE34,0.820205335246502
BE35,1.1325043551000082
BG31,5.098303397568691
BG32,5.179803397701377
BG33,5.431537997142243
BG34,4.935905395850317
DE92,0.9363931651054671
DE93,0.8923882540786717
DE94,0.9849595546928522
CZ07,1.60324302151319
CZ08,1.6633515872476226
AL01,2.409146761402001
AL02,3.5521489107697115
AL03,3.3284956476110947
AT11,2.7469335329478426
AT12,2.2927302124931757
AT13,3.173715614780954
AT21,0.8479354173418097
AT22,1.1131934256864318
AT31,1.0586653420257413
DK05,1.4425530443859251
BE21,1.3914021901446203
BE22,1.3749315764958892
ES43,8.54495825985169
ES51,7.120592870892456
ES52,12.127168566901824
ES53,9.335810284931197
ES61,10.980387509489614
ES62,14.728382181202194
ES63,6.4702701727687195
ES64,14.572453776322043
CH02,0.6412107332637862
CH03,0.7322646663218718
CH04,0.8167773525723435
CH05,0.872490805693427
CH06,0.5815396258541583
CH07,1.226305215171172
CY00,16.57094119999449
CZ01,2.3662064340917333
CZ02,2.0668287661433093
CZ03,1.4652395394601296
CZ04,1.5535946055701928
CZ05,1.4977171122911679
CZ06,2.202614685138358
DE40,1.442180415847882
EL53,3.7323604741910237
EL54,3.0840580322413516
EL61,4.254444409022362
EL62,3.9401959504533743
EL63,4.241751935771657
ES70,20.28754320409716
ITC1,1.8278666823615972
ITC2,0.9116680400509583
DE11,1.0486375734523659
DE12,1.0074191126303826
DE13,0.9046556389556389
DE14,0.8886591653898136
DE21,1.0159393965341597
DE22,1.2599338991562605
DE23,1.134559027598049
DE24,0.8679680743216976
DE25,1.1272755991729906
DE26,0.8691847199610864
DE27,0.9921967474836478
DE30,1.5060676020604191
EL42,13.81670280309286
LV00,0.5963055673361789
ME00,1.8067776031166374
MK00,4.028434512590545
MT00,11.230146673725644
NL11,1.0371593810658792
NL12,1.245681727778018
EL64,6.732000600715284
EL65,8.156628069537089
ES11,2.9157192904235565
ES12,1.721439720374812
ES13,2.373436895324116
ES21,2.80242004396411
ES22,5.36693262400112
ES23,5.444026550029437
ES24,9.77387818425324
ES30,7.675522704048024
IE05,0.9893054726699195
IE06,0.947393534995027
IS00,0.30176809114068737
ITC3,3.14161785056879
FI19,0.306088595158148
FI1B,0.5360369879591115
FI1C,0.47508238831978356
DEA1,1.1772322441063974
DEA2,1.0614952098799615
DEA3,1.051683607906445
DEA4,0.8783468243221638
DEA5,0.8587680465386147
DEB1,0.8188352281362351
DEB2,0.6988599163276032
DEB3,0.9972296249936589
DEC0,0.7751607962746923
DED2,1.5287064424703318
DED4,1.3005745043915653
DED5,1.8847725948669918
DEE0,1.5299844433139422
DEF0,0.9411809746051673
DEG0,1.2136599906833936
DK01,1.3232462239266953
DK02,1.3734919382060162
DK03,1.105992026568289
DK04,1.2217927929913692
ES41,5.386975955138267
ES42,9.924923629923429
HU23,2.9089096089043784
HU31,3.223915407651081
HU32,3.7204245800864104
HU33,4.059135501561531
IE04,0.7328381035636378
EE00,0.6034565580354011
EL30,11.38274413477122
EL41,11.826669145320016
EL43,13.678687311409162
EL51,6.355130962278005
EL52,4.57427968693901
FI20,1.2773477959443786
FR10,1.829594626512431
FRB0,2.1022657957677047
FRC1,1.3941460127460426
FRC2,1.0645591551796156
FRD1,1.612958972282561
FRD2,1.645686033656335
FRE1,1.484048342343808
FRE2,1.5402583752541965
FRF1,0.9591833612458335
NL13,1.0590032631342885
NL21,1.0775855217303905
NL22,1.1480766922709453
NL23,1.119186279291181
NL31,1.2099228980671657
NL32,1.3323109372054156
ITG2,7.810617162695807
ITH1,1.1188885850534394
ITH2,1.4317467867166445
FRI3,2.8635919219056194
FRJ1,4.94824814726048
FRJ2,2.7129758504280854
FRK1,1.7651738193646853
FRK2,1.7704562603155904
FRL0,5.182625348312692
FRM0,4.604680652505175
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,9.332909826686619
TR32,10.567550000252673
TR33,9.170309770312143
HR03,2.5701669476860993
HR02,2.260334043235827
HU11,3.541208491130507
HU12,3.5910764156727466
HU21,3.1449983908491017
HU22,2.9916436066089087
PT16,5.799411813154398
PT17,6.878906733235858
FRF2,1.222999284366826
FRF3,0.9120430521972246
FRG0,2.5366368965428983
FRH0,2.373393838217408
FRI1,2.7813085903387957
FRI2,2.0552904494534334
ITC4,2.117317815950675
ITF1,2.5913434686605386
ITF2,3.8680835312597632
ITF3,3.0369892496794932
ITF4,6.422640888294383
ITF5,6.202183831860877
ITF6,4.980499687088946
ITG1,7.788282848576454
LT01,0.5397068336145007
LT02,0.6141809648884368
LU00,0.7367457853249915
PL22,1.9542563440093974
PL41,2.2228353164297934
PL42,1.1706555945786339
PT18,9.23546270156639
PT20,0.0
PT30,7.787684712813884
RO11,2.2739194855698743
RO12,2.2182364025298935
RO21,3.4817375351861632
RO22,5.994436224916957
RO31,4.655751865836021
RO32,4.311290454953783
ITH3,2.37387821579597
ITH4,1.7714418982602553
ITH5,2.5370111364107215
ITI1,2.638793052000248
ITI2,2.212762335116938
ITI3,2.5853527601412942
ITI4,2.378708678672534
LI00,0.809024937127974
FI1D,0.12752254391976525
TR82,5.100620066261026
TR83,5.727152490002551
TR90,2.0408623589127406
TRA1,3.773455752721552
TRA2,4.290545825894747
PL43,1.7677246911882984
PL51,2.0163286512529277
PL52,2.330206993786083
PL61,1.7838028887389632
PL62,0.9662778946802679
PL63,1.193429347708138
PL71,2.2967068074047154
PL72,1.814724019438584
PL81,1.6044553242444604
PL82,1.5897748460260024
PL84,1.0409172381270797
PL91,1.4787463532143286
PL92,1.5202603093117066
PT11,3.8788174502267103
PT15,10.148940307359124
TRB1,7.387812185025061
TRB2,6.259101178934651
TRC1,12.879789516902989
RS12,4.747951159138078
RS21,3.323168063977356
RS22,4.029692851741636
SE11,1.0616832840607027
SE12,0.6934602627629995
NL33,1.3004791619118679
NL34,1.3479046878722607
NL41,1.3184860660489828
NL42,1.3038887699875576
PL21,1.3347661004825941
UKM6,0.9031916426375153
TR22,7.685213857975114
TRC2,14.031430865141033
TRC3,12.411854522694547
UKC1,1.318943645583823
UKC2,1.229768959380917
UKD1,0.48302369709738074
UKD3,0.718805352191038
UKD4,0.6820840451290129
UKD6,0.8107237696044625
UKD7,0.863689089133936
UKE1,1.8066759640347214
UKE2,1.2800646095004928
UKE3,1.6622084121742782
RO41,4.35616762221928
RO42,3.470648318766819
RS11,4.705924141763778
TR41,7.438197561673799
TR42,3.983829774950745
TR51,9.808511112461312
TR52,12.244542991372144
TR61,9.434987498565976
TR62,11.51135460107989
TR63,10.62873108702483
TR71,11.012464933810243
TR72,8.384469903517058
TR81,3.2712909978561506
UKK1,1.4510511518064062
UKK2,1.6322193592496554
UKK3,2.0432437980659337
UKK4,1.6704943176813627
UKL1,1.0004885338427982
UKL2,0.8169087034065503
UKM5,1.0111763723846872
UKM7,0.6906374743191563
UKM8,0.40511450004659866
UKM9,0.8297528940348066
UKN0,0.8360916522431262
SE21,0.9248173789674151
SE22,0.9504171610048092
SE23,0.6249671293845563
SE31,0.4319939504593468
SE32,0.24847834863848386
SE33,0.18004503704076816
SI03,1.5382290108491652
SI04,1.395289163709529
SK01,3.445890844407314
SK02,2.8151939234281427
SK03,1.469967530587811
SK04,1.4030371160995727
TR10,4.631212573136669
TR21,7.112803067319668
UKE4,1.2921143354844487
UKF1,1.5534141106800976
UKF2,1.721499384689741
UKF3,1.895945555620149
UKG1,1.383313283209327
UKG2,1.069140839787978
UKG3,1.3077615356802077
UKH1,1.9740461232686821
UKH2,1.9211999771874797
UKH3,2.13265434008885
UKI3,1.964409891273169
UKI4,1.964409891273169
UKI5,1.9493794550834487
UKI6,1.9148487005304835
UKI7,1.787366505954052
UKJ1,1.658149084126895
UKJ2,1.9477962168014717
UKJ3,1.8456716564287128
UKJ4,1.9797431145669973
NO09,0.548889184547301
NO0A,0.45612112092980306
NO0B,0.6472176862325228
HR05,1.7416833719238674
HR06,2.045334232522788
NO02,0.16806649603956694
NO06,0.5242168491875131
NO07,0.31367254459393057
NO08,0.3754707292871084
