nuts,September Fire Weather Index (-) (1981 - 2010)
DE50,5.16518667643639
DE60,5.678059186156022
DE71,7.62232521042684
DE72,5.883428371112372
DE73,5.413049589962413
DE80,6.543103179772935
DE91,5.946126584618083
BG41,11.735129842795772
BG42,17.32672892615752
CH01,2.302315081492376
AT32,1.842051979838659
AT33,1.8922802664690763
AT34,1.9878923436816671
BE10,6.812304467401744
BE23,6.59947373865467
BE24,6.651342582884051
BE25,6.767248738790148
BE31,6.544023938467008
BE32,6.636222686375908
BE33,5.290657802638306
BE34,5.240830840600112
BE35,5.461527198893754
BG31,15.255860282489472
BG32,14.213430059020203
BG33,14.883780261166116
BG34,16.532687532003074
DE92,5.976231130120627
DE93,6.311220555652778
DE94,5.190875089082631
CZ07,6.9222239736658775
CZ08,6.125052801639053
AL01,11.286092418116047
AL02,15.692182399080707
AL03,16.772359154358952
AT11,8.618861932907839
AT12,7.405503599920212
AT13,9.832563365732423
AT21,2.4757632192842522
AT22,3.208889859306758
AT31,3.1822652624459087
DK05,5.154210918441971
BE21,6.479913242235744
BE22,6.301717749496472
ES43,32.661193133807686
ES51,14.78631800713879
ES52,23.09906849997535
ES53,18.880640269740248
ES61,31.742043790445255
ES62,28.861476146871908
ES63,22.56339121097461
ES64,29.65431258116103
CH02,2.9290752933112754
CH03,4.16376980920018
CH04,3.8718632334513545
CH05,2.574908293089314
CH06,2.1991536641160514
CH07,3.2140129235312522
CY00,31.030604389056396
CZ01,8.747084327208524
CZ02,8.139929613069423
CZ03,5.478162255080738
CZ04,6.882512058986826
CZ05,6.713095869495134
CZ06,8.507566445614406
DE40,8.022955881376008
EL53,19.675144184117606
EL54,17.586467131973418
EL61,20.09084109095957
EL62,15.760276299310476
EL63,21.459490535917553
ES70,24.69824617682454
ITC1,7.75825779075788
ITC2,4.010119150288949
DE11,6.023251377321284
DE12,6.466268422915655
DE13,5.020471532114836
DE14,3.733088695053005
DE21,3.4260096406144855
DE22,4.4296769216218435
DE23,5.189115657339639
DE24,5.776459286511533
DE25,6.2751310164122325
DE26,6.866669205379003
DE27,3.697910074339361
DE30,8.417927359635653
EL42,32.64245278519555
LV00,5.207462064986493
ME00,9.178147617714487
MK00,17.61726833265643
MT00,20.702340332050543
NL11,4.669596212662801
NL12,4.094944246113015
EL64,26.25494128366768
EL65,27.849302527589824
ES11,13.190994577194642
ES12,6.036738484509133
ES13,8.07030028694694
ES21,9.432802479327323
ES22,17.12823975874841
ES23,18.67483394136637
ES24,22.730444597278854
ES30,30.286257505545922
IE05,4.2701727461146515
IE06,4.262310903955878
