nuts,January Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.7380673964818318
DE60,0.7331352651119232
DE71,0.699947717661659
DE72,0.7106204189360141
DE73,0.7249952731033166
DE80,0.6710242483764887
DE91,0.722373058522741
BG41,0.4732197889437278
BG42,0.44092507312695184
CH01,0.6933705256630976
AT32,0.6717955070237319
AT33,0.65295694116503
AT34,0.6904666451116402
BE10,0.6666666666666666
BE23,0.6692190592487653
BE24,0.675022350003322
BE25,0.685604302585125
BE31,0.691705459356308
BE32,0.6966497787584861
BE33,0.768742335215211
BE34,0.7765672873705626
BE35,0.7492377443859974
BG31,0.4513776063919067
BG32,0.4443599396695693
BG33,0.4301314135392507
BG34,0.4402970219651858
DE92,0.7425312623381615
DE93,0.7265823427587748
DE94,0.7503507554531097
CZ07,0.6013282141337792
CZ08,0.6381279005358617
AL01,0.6123117951055368
AL02,0.5498977073778709
AL03,0.5640461740394433
AT11,0.3980873348812262
AT12,0.5183468014001846
AT13,0.43333333333333335
AT21,0.46854196712374685
AT22,0.5353265464305877
AT31,0.6735545737668872
DK05,0.7068848634759585
BE21,0.6666666651765506
BE22,0.6917638132969538
ES43,0.4292598508298397
ES51,0.3912577954431375
ES52,0.3316079853102565
ES53,0.40470571679373585
ES61,0.3996421199757606
ES62,0.30208467518289883
ES63,0.5332982470591863
ES64,0.4
CH02,0.7107273887222012
CH03,0.6999999970197678
CH04,0.6741053757568201
CH05,0.6373930287857851
CH06,0.7116792670140664
CH07,0.5268504152695338
CY00,0.5246370601157347
CZ01,0.5600208838780721
CZ02,0.5939075065155824
CZ03,0.6284879989922046
CZ04,0.6586334864919384
CZ05,0.6662649686758717
CZ06,0.5259306911379099
DE40,0.6466552260021369
EL53,0.5179524353394905
EL54,0.6012648416062196
EL61,0.5810869501282772
EL62,0.6640168453256289
EL63,0.636875802775224
ES70,0.2479840517664949
ITC1,0.47047775303944944
ITC2,0.6199144122501214
DE11,0.7060732610523701
DE12,0.7297626254459222
DE13,0.7141236070543527
DE14,0.6721887441972891
DE21,0.6593004912758867
DE22,0.6693085397283236
DE23,0.6887508418411017
DE24,0.7228999915222327
DE25,0.6801433323572079
DE26,0.7117736489822467
DE27,0.6617126846065123
DE30,0.6375000228484472
EL42,0.5836854168524345
LV00,0.7055905019398778
ME00,0.6367828018963337
MK00,0.46833952696373066
MT00,0.5749868517120679
NL11,0.7419653808077177
NL12,0.7859506289164225
EL64,0.5942277216662963
EL65,0.5631705299019814
ES11,0.7202592375998695
ES12,0.7628030824785431
ES13,0.7426077033082644
ES21,0.7436644518127044
ES22,0.6133467562496662
ES23,0.5805919803678989
ES24,0.42528868907441697
ES30,0.43181676318248113
IE05,0.8369844924658537
IE06,0.7561479411398371
IS00,0.9767653745909531
ITC3,0.49742123782634734
FI19,0.618343454413116
FI1B,0.6730521986881892
FI1C,0.6634236222133041
DEA1,0.7363446485251188
DEA2,0.7654623508453369
DEA3,0.7483540757248799
DEA4,0.7729901606837909
DEA5,0.7989411967496077
DEB1,0.7195430954918265
DEB2,0.7425789748628934
DEB3,0.6862831315646569
DEC0,0.7487079136073589
DED2,0.7056460298597813
DED4,0.7227353993803263
DED5,0.6604563963909944
DEE0,0.6497946950917443
DEF0,0.7286551522091032
DEG0,0.6854778450603286
DK01,0.6740909109512965
DK02,0.6607526566833257
DK03,0.7032286653916041
DK04,0.6931776764492193
ES41,0.5215873340144753
ES42,0.40270194937475023
HU23,0.395968097448349
HU31,0.4315749190747738
HU32,0.46165300607681276
HU33,0.4138063528885444
IE04,0.9309998780488968
EE00,0.695783547560374
EL30,0.45196271017193795
EL41,0.5649158861488104
EL43,0.6063994791358709
EL51,0.457747391735514
EL52,0.47049868777394294
FI20,0.67455898274978
FR10,0.6333378039921324
FRB0,0.6486336544776956
FRC1,0.7162701917501787
FRC2,0.7485490643729766
FRD1,0.7075342478230595
FRD2,0.6750302595396837
FRE1,0.6945187114179134
FRE2,0.664722805035611
FRF1,0.7400209872672955
NL13,0.7027711227536202
NL21,0.7117790733774503
NL22,0.6926996583739916
NL23,0.728044693171978
NL31,0.6832865834236145
NL32,0.7756144690016905
ITG2,0.48019899365802604
ITH1,0.5102537206063668
ITH2,0.38790225187937416
FRI3,0.6502507854873936
FRJ1,0.5348868193725745
FRJ2,0.660509592667222
FRK1,0.7053674488017957
FRK2,0.6397179489334425
FRL0,0.42963919021810093
FRM0,0.5179109161098798
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.5586663500716289
TR32,0.5557752731877069
TR33,0.5055644730105996
HR03,0.5752791371196508
HR02,0.47241404751936594
HU11,0.4000000019868215
HU12,0.40131432252625626
HU21,0.4045255407691002
HU22,0.38679234199225904
PT16,0.5247369419783354
PT17,0.48331872969865797
FRF2,0.7239771222074827
FRF3,0.7430443308005731
FRG0,0.6312300718699893
FRH0,0.742830278351903
FRI1,0.6671462117383877
FRI2,0.7340394934018453
ITC4,0.4040521819765369
ITF1,0.5404098559170961
ITF2,0.5549376702557007
ITF3,0.6094649647672971
ITF4,0.5065933006505171
ITF5,0.525358417381843
ITF6,0.6404005701343218
ITG1,0.5699547002092004
LT01,0.705548043983678
LT02,0.6881364979936431
LU00,0.7511310450732708
PL22,0.6566538972159227
PL41,0.6021268248558045
PL42,0.6661847905566295
PT18,0.43131720572710036
PT20,0.0
PT30,0.47690023134152093
RO11,0.5976249342784286
RO12,0.5433869348218043
RO21,0.4490803765753905
RO22,0.38540024757385255
RO31,0.4143155808250109
RO32,0.3800142710407575
ITH3,0.4022938552002112
ITH4,0.4494630813598633
ITH5,0.4527799755955736
ITI1,0.5002519237498443
ITI2,0.5129856623709201
ITI3,0.5178156425555547
ITI4,0.5301074156537652
LI00,0.7000783284505209
FI1D,0.5828676048666239
TR82,0.6462512755766511
TR83,0.5748380885459483
TR90,0.7040428351610899
TRA1,0.5338399656116962
TRA2,0.47103105106701454
PL43,0.622100040068229
PL51,0.6573954542477926
PL52,0.6225260441501935
PL61,0.5970184327413638
PL62,0.6715948447585106
PL63,0.670360536624988
PL71,0.6043714479853709
PL72,0.5815081463505825
PL81,0.5942078902075688
PL82,0.6634539463867744
PL84,0.6471696350723505
PL91,0.6106258721401294
PL92,0.6038261882339915
PT11,0.5757114415367445
PT15,0.40834298779567085
TRB1,0.5587953300525744
TRB2,0.5395247636983792
TRC1,0.5622894741594792
RS12,0.45977000581721467
RS21,0.5796630510439476
RS22,0.527428828800718
SE11,0.5943040791898966
SE12,0.541800198579828
NL33,0.7087673505147298
NL34,0.6888229310512543
NL41,0.6695499998827775
NL42,0.6949808903038501
PL21,0.6443379418303569
UKM6,1.0738681070506573
TR22,0.5837277438491583
TRC2,0.5488977996322016
TRC3,0.5784144944200913
UKC1,0.8023409145573775
UKC2,0.7987276929120223
UKD1,0.9144586856166522
UKD3,0.8065094557901223
UKD4,0.8769287598629792
UKD6,0.7361835536857446
UKD7,0.8071097329258918
UKE1,0.6624354258179664
UKE2,0.7739127814769745
UKE3,0.6668096209565798
RO41,0.45896692189077537
