nuts,Autumn Extreme Precipitation Days (days) (1981 - 2010)
DE50,1.9617099091410637
DE60,1.9991088767846426
DE71,1.8599370072285335
DE72,1.9196395143866538
DE73,1.9572177926699321
DE80,1.8141114215056102
DE91,1.929863185621798
BG41,1.2865113829572996
BG42,1.1600061029195785
CH01,2.1545610216756663
AT32,2.166254688302676
AT33,2.1502101386586827
AT34,2.14051185225447
BE10,1.8333780318498611
BE23,1.8794148047765096
BE24,1.8584003925323487
BE25,1.9613933717211087
BE31,1.8875471214453379
BE32,1.8861448938647907
BE33,2.086446972688039
BE34,2.034513293703397
BE35,1.9878542003532251
BG31,1.1957564391195774
BG32,1.152045149728656
BG33,1.1424497047439217
BG34,1.1395297524829706
DE92,1.9761733482281367
DE93,1.9362743179003397
DE94,2.0827486445506413
CZ07,1.7090605994065602
CZ08,1.8175473968187967
AL01,1.6537912912666797
AL02,1.5293402976046007
AL03,1.5011834278702736
AT11,1.4193079104026158
AT12,1.6274617357800405
AT13,1.4583941827217737
AT21,1.7767638613780339
AT22,1.8711925014853477
AT31,2.001332982381185
DK05,2.122395067413648
BE21,1.8808045585950215
BE22,1.9417936027050018
ES43,1.1504880120356877
ES51,1.4013078083594641
ES52,1.1136541362851857
ES53,1.2054887721935907
ES61,1.0356133560339609
ES62,0.9070684323708217
ES63,1.2221637517213821
ES64,0.8333333333333334
CH02,2.1460821400086085
CH03,2.0734471499919893
CH04,1.9929840408265591
CH05,2.0383147614697616
CH06,2.2535562994579474
CH07,1.9567976941665013
CY00,0.6319011285901069
CZ01,1.5534099156657855
CZ02,1.6187047716851035
CZ03,1.7239962538083395
CZ04,1.7445824070523182
CZ05,1.7909103469302257
CZ06,1.532436116784811
DE40,1.6572953124841054
EL53,1.2202402075131735
EL54,1.482292635490497
EL61,1.2576750467220943
EL62,1.539997124671936
EL63,1.4522684847315153
ES70,0.5961763279512524
ITC1,1.8195663804809252
ITC2,2.1177724085748197
DE11,1.9062407890955606
DE12,1.9499920308589935
DE13,2.000869807600975
DE14,1.9390710949897767
DE21,1.9852130005757014
DE22,1.8323612842708825
DE23,1.8367805406451225
DE24,1.9090366731087367
DE25,1.8344325770934422
DE26,1.8772812028725943
DE27,1.9492814719676972
DE30,1.6083333070079486
EL42,0.6847435552005966
LV00,2.022177654504776
ME00,1.7290751333038012
MK00,1.2381814777851106
MT00,1.1499736999471983
NL11,2.1634742436309655
NL12,2.3881554583708446
EL64,1.1837197134892146
EL65,1.0664316232005755
ES11,1.973467900355657
ES12,2.2008635997772217
ES13,2.094471008578936
ES21,1.9803016974280279
ES22,1.6109951213002205
ES23,1.5190800741314887
ES24,1.2456607947746912
ES30,1.2078041716168324
IE05,2.3023986746867497
IE06,2.09908407330513
IS00,2.7527985095977785
ITC3,1.70718941402932
FI19,1.8409051557381948
FI1B,1.9402402694026628
FI1C,1.928564081589381
DEA1,2.0480251436432204
DEA2,2.086663071314494
DEA3,2.049630784491698
DEA4,2.0806516210238137
DEA5,2.1968822280565896
DEB1,1.944988120595614
DEB2,1.9554939643790326
DEB3,1.8377953136960665
DEC0,1.9538370380798975
DED2,1.8280246987938882
DED4,1.90419101168712
DED5,1.71913114686807
DEE0,1.6984591061870258
DEF0,2.0555956135193507
DEG0,1.8503733058770497
DK01,2.04428364833196
DK02,1.9830744256575903
DK03,2.0848225894073646
DK04,2.0979334274927774
ES41,1.44035790959994
ES42,1.14096009110411
HU23,1.317113013813893
HU31,1.3128187999129295
HU32,1.3140937079985937
HU33,1.226953017214934
IE04,2.609981604417165
EE00,2.127463901042938
EL30,0.7548515401780606
EL41,0.8043019667267799
EL43,0.860593756660819
EL51,1.0972583671410878
EL52,1.2006999876971045
FI20,2.0039610522488753
FR10,1.6864033425847689
FRB0,1.7122454504172007
FRC1,1.883014863729477
FRC2,2.0425655260682105
FRD1,1.9774603048960369
FRD2,1.915941807627678
FRE1,1.9352503259976706
FRE2,1.805505100886027
FRF1,2.0136973361174264
NL13,2.036088329056899
NL21,2.0429747834801675
NL22,1.9896529778838157
NL23,2.1712553044160208
NL31,2.041503045956294
NL32,2.4081739569703737
ITG2,1.2871628681818643
ITH1,1.8805827908217907
ITH2,1.798778026054303
FRI3,1.6941823974251746
FRJ1,1.596711419026057
FRJ2,1.7728909368316332
FRK1,1.8833286702632903
FRK2,1.8365032454331716
FRL0,1.4311069260040918
FRM0,1.4868074933687845
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.8894613121946653
TR32,0.822225462893645
TR33,0.885995609126985
HR03,1.715901937087377
HR02,1.470701958735784
HU11,1.2249802559614182
HU12,1.2525658366580805
HU21,1.3193549275398255
HU22,1.354493424296379
PT16,1.434133958319823
PT17,1.2415620245039463
FRF2,1.9041255295276642
FRF3,1.987397844096025
FRG0,1.6885876928766568
FRH0,1.9293514505028724
FRI1,1.7763083356122176
FRI2,1.9089089845617613
ITC4,1.6551662260045608
ITF1,1.6223156907285252
ITF2,1.525707034021616
ITF3,1.6505871176719666
ITF4,1.2522252519925436
ITF5,1.289995243648688
ITF6,1.5221014618873596
ITG1,1.3513734678427378
LT01,1.8592102845509848
LT02,1.8783433099587759
LU00,1.9637413342793784
PL22,1.8082793653011322
PL41,1.601461110636592
PL42,1.8607637335856755
PT18,1.1392725529770056
PT20,0.0
PT30,1.3745053187012672
RO11,1.6534290139873822
RO12,1.5493264158566793
RO21,1.298412930344542
RO22,1.0459036293439568
RO31,1.1558713033795356
RO32,1.0766666573782762
ITH3,1.6631946933766206
ITH4,1.8490724941094716
ITH5,1.5737349405884742
ITI1,1.68394615650177
ITI2,1.6882620324691138
ITI3,1.6045785531401635
ITI4,1.7200179119904837
LI00,2.233489990234375
FI1D,1.9052725084125997
TR82,1.4637401171028614
TR83,1.3452329063788055
TR90,2.064668052395185
TRA1,1.3337616547942162
TRA2,1.402222758034865
PL43,1.650645984709263
PL51,1.7514502082020045
PL52,1.6925061970949173
PL61,1.6150979101657867
PL62,1.7640090251962344
PL63,1.8916621416807176
PL71,1.633516783763965
PL72,1.6419483919938405
PL81,1.6478157411019008
PL82,1.7639002470920484
PL84,1.670153486977021
PL91,1.6425120356182257
PL92,1.6270199884970984
PT11,1.5743756967286269
PT15,0.9849085725843907
TRB1,1.0345220410265028
TRB2,1.1337254938979944
TRC1,0.8133607131739458
RS12,1.2396888438612224
RS21,1.477606804917256
RS22,1.300487872461478
SE11,1.7999185847739378
SE12,1.733092831571897
NL33,2.1728298415740332
NL34,2.032800607383251
NL41,1.934711368381977
NL42,1.9540216644605002
PL21,1.826715574413538
UKM6,3.0007545252641044
TR22,1.0697957379122576
TRC2,0.771511846780777
TRC3,0.8547367759980261
UKC1,2.0180151651302976
UKC2,2.0810190364718437
UKD1,2.49376943508784
UKD3,2.276273620376984
UKD4,2.470592597623666
UKD6,2.10550596639514
UKD7,2.354684291779995
UKE1,1.828891373798251
UKE2,2.030810745557149
UKE3,1.8458477467298509
RO41,1.2950982965528965
RO42,1.4856758976976077
RS11,1.2848325103521347
TR41,1.110953135912617
TR42,1.5248289689421655
TR51,0.9026478352646033
TR52,0.7803507092098395
TR61,0.9338977163036665
TR62,1.0426970065881809
TR63,0.9671396943430106
TR71,0.8527683476607005
TR72,1.0613236513144026
TR81,1.649247545003891
UKK1,1.7680704275767007
UKK2,1.9597623099883397
UKK3,2.287272044022878
UKK4,2.14275260468324
UKL1,2.4983450094858806
UKL2,2.1349129537741343
UKM5,2.37881737947464
UKM7,2.36501565972964
UKM8,2.587824923793475
UKM9,2.4811239381631216
UKN0,2.458227428793907
SE21,1.837139658133189
SE22,1.9078621923923493
SE23,2.015945229927699
SE31,1.8479776402314505
SE32,2.012563089529673
SE33,1.9855087727308274
SI03,1.6260279665390651
SI04,1.7766238103310268
SK01,1.3817114755511284
SK02,1.4712157564858594
SK03,1.696430809920033
SK04,1.6145257810751596
TR10,1.4147888444364072
TR21,1.061603934193651
UKE4,2.0385227407018345
UKF1,1.8228715121746064
UKF2,1.686623188232382
UKF3,1.7297479409724474
UKG1,1.7558047284682592
UKG2,1.912507174909115
UKG3,1.7498735745747884
UKH1,1.7960199063022932
UKH2,1.631116039554278
UKH3,1.6812717020511627
UKI3,1.6166666666666667
UKI4,1.6166666666666667
UKI5,1.606644643843174
UKI6,1.6334243650237719
UKI7,1.6333333373069763
UKJ1,1.6759737620751063
UKJ2,1.8468980232874552
UKJ3,1.8120243683457375
UKJ4,1.823646526535352
NO09,2.3241454482078554
NO0A,2.851098394393921
NO0B,2.4667607665061952
HR05,1.4722262799739838
HR06,1.448197070757548
NO02,2.0874514251947405
NO06,2.618804568052292
NO07,2.503919392824173
NO08,2.02046799659729
