nuts,July Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.7617934371034304
DE60,0.722112171848615
DE71,0.6932648201783498
DE72,0.7302758355935415
DE73,0.7551440875356396
DE80,0.6611647094910343
DE91,0.7446779822309811
BG41,0.5849515505135059
BG42,0.49796390334765117
CH01,0.9259877850612005
AT32,1.0453065227717162
AT33,1.072165316840013
AT34,1.0168015256524086
BE10,0.6916890194018682
BE23,0.674323940028747
BE24,0.7000148956974347
BE25,0.6404606834053993
BE31,0.7041805197795232
BE32,0.677329188461105
BE33,0.7765775182594855
BE34,0.7514009237289428
BE35,0.7351159611095984
BG31,0.536422510817647
BG32,0.5301090570166707
BG33,0.480480865513285
BG34,0.44272394229968387
DE92,0.740555167508622
DE93,0.7318221684545279
DE94,0.7707108917335669
CZ07,0.720873558955888
CZ08,0.7682564821094274
AL01,0.4119676381970445
AL02,0.3572907461474339
AL03,0.27941267161319655
AT11,0.5930500668783982
AT12,0.7424925518532594
AT13,0.6416463792324066
AT21,0.9028881008426348
AT22,0.8931224130094051
AT31,0.903128636876742
DK05,0.554785621787111
BE21,0.7071272077659766
BE22,0.7222321232159933
ES43,0.08969644814108808
ES51,0.3648379995798071
ES52,0.17105938152720532
ES53,0.061654869467020035
ES61,0.0698558969112734
ES62,0.08319639054437479
ES63,0.03333333233992259
ES64,0.03333333333333333
CH02,0.9291023125251134
CH03,0.8700727378328641
CH04,0.8483340367674828
CH05,0.9485868285720547
CH06,1.0185654709736507
CH07,0.811518328388532
CY00,0.030846592038869858
CZ01,0.7066805919011434
CZ02,0.7238750043014686
CZ03,0.7942119501531124
CZ04,0.757789536503454
CZ05,0.7664155914758642
CZ06,0.6895282090951999
DE40,0.641868286455671
EL53,0.3165803704410791
EL54,0.25095570348203183
EL61,0.2323615378389756
EL62,0.057775133103132245
EL63,0.17778904593239228
ES70,0.05125343774755796
ITC1,0.6806939316292604
ITC2,0.9109289201597373
DE11,0.7660312407339612
DE12,0.7436147302389144
DE13,0.8050306451196472
DE14,0.8534877980748813
DE21,0.8952227294445038
DE22,0.8110416952520609
DE23,0.7879833706965049
DE24,0.7722612415750821
DE25,0.7581385514388482
DE26,0.7301027555018663
DE27,0.8923604478438695
DE30,0.6333333373069763
EL42,0.019855982810258865
LV00,0.6969193133215109
ME00,0.526440342143178
MK00,0.4078116183479627
MT00,0.03333333432674408
NL11,0.7910696938633919
NL12,0.7223299670964479
EL64,0.1840681708107392
EL65,0.10396491866558791
ES11,0.40463468646630646
ES12,0.6542918176700672
ES13,0.6377668607980013
ES21,0.568896708637476
ES22,0.4355542172988256
ES23,0.41403693531950314
ES24,0.336236337137719
ES30,0.17127399643262228
IE05,0.7507884324838717
IE06,0.7612387268493573
IS00,0.8172059312462807
ITC3,0.4112774814168612
FI19,0.7024928756058216
FI1B,0.6083330815037091
FI1C,0.6517719460030397
DEA1,0.737656187141935
DEA2,0.7655575707554817
DEA3,0.7563169151544571
DEA4,0.770597214748462
DEA5,0.8097541057815154
DEB1,0.7163170429567496
DEB2,0.7257056613763173
DEB3,0.6556123949587345
DEC0,0.6717305714885394
DED2,0.7168892568598191
DED4,0.7722755982230107
DED5,0.662602360919118
DEE0,0.666203781341513
DEF0,0.70001338335375
DEG0,0.7322808315356573
DK01,0.5818898451824983
DK02,0.5842799885819355
DK03,0.6559065735588471
DK04,0.6253953979661068
ES41,0.2974611430739363
ES42,0.14550395120556156
HU23,0.4804804438104232
HU31,0.5665577918911974
HU32,0.5611297576998671
HU33,0.48356415728727975
IE04,0.9161994191197057
EE00,0.6671730515857538
EL30,0.058887311319510145
EL41,0.03659441396594047
EL43,0.03664267584681511
EL51,0.3437411433085799
EL52,0.32210639050851264
FI20,0.4391330727686485
FR10,0.5431279017900427
FRB0,0.5157289917270342
FRC1,0.5892259125287335
FRC2,0.7126686645050844
FRD1,0.575308853884538
FRD2,0.602331489448746
FRE1,0.6350541242708763
FRE2,0.6058354999870061
FRF1,0.7348888285458088
NL13,0.7693896676103275
NL21,0.758862191438675
NL22,0.7549992009997368
NL23,0.7615967974066734
NL31,0.7541549841562907
NL32,0.7021247750769058
ITG2,0.07692264076322317
ITH1,0.964939999828736
ITH2,0.9707282063861687
FRI3,0.47212816815202435
FRJ1,0.38048658004651464
FRJ2,0.5552730997403462
FRK1,0.5865217596292496
FRK2,0.594724922751387
FRL0,0.3665873541186253
FRM0,0.1522833657761415
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.07457551788538694
TR32,0.08779576097925504
TR33,0.15918197498346368
HR03,0.33610355444252493
HR02,0.5229453340172767
HU11,0.4916074017683665
HU12,0.5012286892781656
HU21,0.4971502642457684
HU22,0.5285185209165016
PT16,0.1662902391826113
PT17,0.07217519705494245
FRF2,0.6281798432891568
FRF3,0.6810619527474046
FRG0,0.46815520242477454
FRH0,0.5135662243391077
FRI1,0.5171506124238173
FRI2,0.5906303592026234
ITC4,0.6309744939828913
ITF1,0.3949763373161356
ITF2,0.356928334881862
ITF3,0.26026495403299726
ITF4,0.19649764485657215
ITF5,0.27139236479997636
ITF6,0.21969558640072742
ITG1,0.08016963424161076
LT01,0.7168848774706323
LT02,0.7021924628565709
LU00,0.7228128323952357
