nuts,October Extreme Precipitation Days (days) ensemble median - RCP8.5 - (2041 - 2070)
DE50,0.7902811338504155
DE60,0.8322776089111964
DE71,0.788703573991855
DE72,0.710806189974149
DE73,0.7167588002979756
DE80,0.8943607643867533
DE91,0.7293119711180528
BG41,0.4782804662361741
BG42,0.38602270049353443
CH01,0.7380245671917994
AT32,0.814312610278527
AT33,0.8469835720335444
AT34,0.7503019685546557
BE10,0.7499552920460701
BE23,0.7184337496757507
BE24,0.7859695454438528
BE25,0.7333331900338332
BE31,0.7831892440716426
BE32,0.7527555515368779
BE33,0.7862494960427284
BE34,0.7906798565139374
BE35,0.7736862406134606
BG31,0.42331651616841554
BG32,0.42477229684591294
BG33,0.47728774367521204
BG34,0.42398626698801917
DE92,0.8674625209843119
DE93,0.8426002462704977
DE94,0.9274233050023516
CZ07,0.6406285624330242
CZ08,0.6289406864593426
AL01,0.6638401382913192
AL02,0.5315068274736404
AL03,0.5695125706493854
AT11,0.639122391367952
AT12,0.6250901612142722
AT13,0.5501216808954875
AT21,0.7529556379963954
AT22,0.7880003107711673
AT31,0.8398087474827965
DK05,0.9228704993923506
BE21,0.6995344047745069
BE22,0.691838501393795
ES43,0.3048701981082559
ES51,0.535938871341447
ES52,0.3170921911485493
ES53,0.49121646682421366
ES61,0.3864425175047169
ES62,0.24237960912287235
ES63,0.355497087041537
ES64,0.16666666666666666
CH02,0.8727411317949494
CH03,1.0901928832133612
CH04,0.866454869757096
CH05,0.727826960819463
CH06,0.9534003506104152
CH07,0.766569797694683
CY00,0.21714987407128017
CZ01,0.5135351851582527
CZ02,0.6127277028436462
CZ03,0.6558971047401428
CZ04,0.6981248582402865
CZ05,0.6867964021861553
CZ06,0.5813216596841813
DE40,0.8123240488270919
EL53,0.44986306416491667
EL54,0.4619776134689649
EL61,0.4376444806655248
EL62,0.6396100677549839
EL63,0.4061325286204616
ES70,0.0500000794728597
ITC1,0.646592530546089
ITC2,0.6842598281800747
DE11,0.9720352481429776
DE12,0.9584439398099979
DE13,0.961926438100636
DE14,0.9101912828783194
DE21,0.8584147837013006
DE22,0.8076301595817009
DE23,0.7767661763976018
DE24,0.7896926308671633
DE25,0.8490961190313101
DE26,0.8001513426502546
DE27,0.835064726198713
DE30,0.8043559978405634
EL42,0.2051380934504171
LV00,0.9565104650954406
ME00,0.7202072540918986
MK00,0.49616037383675576
MT00,0.45855685919523237
NL11,1.0063479642073314
NL12,1.0898406061033408
EL64,0.41438855876525243
EL65,0.3473226691285769
ES11,0.5936126157020529
ES12,0.6747237225994468
ES13,0.6211863242089748
ES21,0.5183895096182823
ES22,0.5546075612927477
ES23,0.3979442366709312
ES24,0.4260264919449886
ES30,0.3603301631907622
IE05,0.995851476987203
IE06,0.7961548487345378
IS00,1.302515983581543
ITC3,0.6948847360908985
FI19,0.9383633336673181
FI1B,1.028853714838624
FI1C,0.9624783861606071
DEA1,0.6768531708667676
DEA2,0.6836612628151973
DEA3,0.7138273092607658
DEA4,0.8085708245635033
DEA5,0.7544909365475178
DEB1,0.7165858255078396
DEB2,0.7481467671692371
DEB3,0.8795213837176561
DEC0,0.759279228746891
DED2,0.714829724530379
DED4,0.6973129895826181
DED5,0.7166436017801364
DEE0,0.7380917526781559
DEF0,0.8857097210983436
DEG0,0.7208760471393665
DK01,0.9975306327144305
DK02,0.9845710165177782
DK03,0.9557169495771328
DK04,0.952175931011637
ES41,0.4168810413374255
ES42,0.3243550345301628
HU23,0.6997225024426977
HU31,0.6367448866988222
HU32,0.5978668838118514
HU33,0.6643134792645772
IE04,1.086961654263238
EE00,1.0090458721698572
EL30,0.3029017249743144
EL41,0.22667500985165437
EL43,0.2728634376078844
EL51,0.36671735731263955
EL52,0.4906847160309553
FI20,0.9761585375914971
FR10,0.8383932935694853
FRB0,0.8505972169339657
FRC1,0.8932563181966543
FRC2,0.9113672134156029
FRD1,0.9249200901637474
FRD2,0.9803376502046982
FRE1,0.8397441597034534
FRE2,0.9652262380967538
FRF1,1.0254404058059057
NL13,0.8746597910920779
NL21,0.82494949127237
NL22,0.7195834197103977
NL23,0.9792974419891834
NL31,0.8163627833127975
NL32,1.0751686062663794
ITG2,0.492227205572029
ITH1,0.8651318324108919
ITH2,0.784041515737772
FRI3,0.7530994112292926
FRJ1,0.6956964632496238
FRJ2,0.7023048903172214
FRK1,0.8104774850110213
FRK2,0.7326995167881251
FRL0,0.5583773843633631
FRM0,0.5298130777974923
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.3009300583973527
TR32,0.267712557160606
TR33,0.349110139037172
HR03,0.8662472625573476
HR02,0.7328329314477742
HU11,0.6084716071685156
HU12,0.6485296141356229
HU21,0.6067607625077168
HU22,0.6470890387892723
PT16,0.45178501326590775
PT17,0.38591242556770644
FRF2,0.8355260783185562
FRF3,0.8576955595364173
FRG0,0.8493617154657841
FRH0,0.8612153848012288
FRI1,0.6951245566209158
FRI2,0.7465170290321111
ITC4,0.7409480398210386
ITF1,0.6066042831788461
ITF2,0.5915496284763019
ITF3,0.6521087653934956
ITF4,0.6115101722379526
ITF5,0.531053859492143
ITF6,0.4780535502359271
ITG1,0.42897334654505054
LT01,0.7751359330490232
LT02,0.8210770453015963
LU00,0.8054919369518757
PL22,0.6683057324960828
PL41,0.6875282945111394
PL42,0.7847152172277371
PT18,0.26690650501598917
