nuts,November Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.680896724263827
DE60,0.705247484644254
DE71,0.6632874033103386
DE72,0.6818329069763422
DE73,0.698956681539615
DE80,0.6303962856531143
DE91,0.6901514540736874
BG41,0.4587811129167676
BG42,0.43235578338305153
CH01,0.7221600995709498
AT32,0.7375119475026926
AT33,0.7133627639462551
AT34,0.726188903550307
BE10,0.6500447014967601
BE23,0.6640450596809387
BE24,0.658370581517617
BE25,0.7069219827651978
BE31,0.675027710199356
BE32,0.675510332857569
BE33,0.7569220665842294
BE34,0.7365151772896449
BE35,0.7228410307317972
BG31,0.4402246740336219
BG32,0.42553165163844825
BG33,0.4204150928805272
BG34,0.43680946889022987
DE92,0.6991119431952636
DE93,0.6820525654902061
DE94,0.7263525973384579
CZ07,0.6347804105530183
CZ08,0.6603638557096322
AL01,0.6426182232797146
AL02,0.6036261224498352
AL03,0.6316965237880746
AT11,0.49641631692647936
AT12,0.5938500786821047
AT13,0.5333333343267441
AT21,0.5842153312017521
AT22,0.631380741049846
AT31,0.7045607769240936
DK05,0.7374747160201272
BE21,0.6594877923528354
BE22,0.700089677174886
ES43,0.4545442506670952
ES51,0.4262727761020263
ES52,0.3535712929442525
ES53,0.47132781967520715
ES61,0.41672718276580173
ES62,0.326055623156329
ES63,0.5444327453772227
ES64,0.36666666666666664
CH02,0.7243750851601363
CH03,0.7033744424581527
CH04,0.677930498123169
CH05,0.6938043236732483
CH06,0.7634144254028797
CH07,0.6239328237871329
CY00,0.34931598578890166
CZ01,0.5733820637067158
CZ02,0.5948345631361007
CZ03,0.6207640467832486
CZ04,0.618458604812622
CZ05,0.6596868209540844
CZ06,0.5748615325738986
DE40,0.5869355030668278
EL53,0.5034742848326762
EL54,0.6537256695330143
EL61,0.5395039963225524
EL62,0.7361256054292122
EL63,0.6560375259568294
ES70,0.2886944705620408
ITC1,0.5809637216540674
ITC2,0.6799561714132627
DE11,0.6657804018507402
DE12,0.6890334371477366
DE13,0.6913368920485179
DE14,0.660095835228761
DE21,0.6701708937684695
DE22,0.6434776689857244
DE23,0.6480624375864863
DE24,0.6872580538193385
DE25,0.6456230497608583
DE26,0.6644329274694125
DE27,0.6627806051323811
DE30,0.5708569993575414
EL42,0.42984645186613
LV00,0.6821241365124782
ME00,0.6599952125300964
MK00,0.48496138397604227
MT00,0.5416535218556722
NL11,0.7551923667391142
NL12,0.849692627042532
EL64,0.5306658348689477
EL65,0.5251040591547886
ES11,0.7661330811679363
ES12,0.790417440670232
ES13,0.7568730103472868
ES21,0.735660740857323
ES22,0.5932075341542562
ES23,0.559512215356032
ES24,0.4182987861335278
ES30,0.47377599676450094
IE05,0.783939790384223
IE06,0.7110010926301281
IS00,0.9083679941793282
ITC3,0.6024871375411749
FI19,0.6479424559821685
FI1B,0.7157399411002795
FI1C,0.6885544745872418
DEA1,0.7276833564043045
DEA2,0.7451412965854008
DEA3,0.7184856072068214
DEA4,0.7297615731755892
DEA5,0.7666902636488279
DEB1,0.6924557682126761
DEB2,0.7056145538886388
DEB3,0.6584591603527467
DEC0,0.7128165379166603
DED2,0.6567426418264707
DED4,0.6787258004148801
DED5,0.6209242577354114
DEE0,0.6084315706975758
DEF0,0.7122660210976998
DEG0,0.672569153085351
DK01,0.7302620604634285
DK02,0.6931525327265262
DK03,0.7125741563737392
DK04,0.7214055638760328
ES41,0.550567756096522
ES42,0.42953094506325823
HU23,0.4748084936911861
HU31,0.47661563189079365
HU32,0.47873881570994853
HU33,0.44336844558517136
IE04,0.9030764667938153
EE00,0.7301337296764056
EL30,0.41105298412342867
EL41,0.46916169884304204
EL43,0.4753431024650733
EL51,0.4686891925831636
EL52,0.48074508806069693
FI20,0.7922271341085434
FR10,0.6126158529892564
FRB0,0.6275224229631324
FRC1,0.6913066409528256
FRC2,0.7212811221679052
FRD1,0.7171644346167644
FRD2,0.6984954544032613
FRE1,0.7013763064518571
FRE2,0.6537570754686991
FRF1,0.7089095527927081
NL13,0.7055421794454256
NL21,0.7097527985771497
NL22,0.6912331566214561
NL23,0.7587410372992357
NL31,0.7124649365743001
NL32,0.8661471852411826
ITG2,0.5606308973704776
ITH1,0.6209825838605563
ITH2,0.5252903598050277
FRI3,0.6256179044644038
FRJ1,0.5531006695702672
FRJ2,0.629544983804226
FRK1,0.6904475582453112
FRK2,0.6459276784211397
FRL0,0.4977259159088135
FRM0,0.619104190915823
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.4793124843388796
TR32,0.4368720883503556
TR33,0.41685659807796277
HR03,0.6761387110998233
HR02,0.5239257307102283
HU11,0.45000000099341075
HU12,0.45822606757283213
HU21,0.4851183066765467
HU22,0.48612202213456235
PT16,0.5735613877574602
PT17,0.5194111511111259
FRF2,0.6946977217992146
FRF3,0.7162353919198116
FRG0,0.602748678252101
FRH0,0.7137518908828497
FRI1,0.6453142027060191
FRI2,0.6935053244233131
ITC4,0.5369278158371648
ITF1,0.6061100994547208
ITF2,0.5843893916656574
ITF3,0.6504850316792726
ITF4,0.4893645339955886
ITF5,0.4909178341428439
ITF6,0.6100060254335403
ITG1,0.5657172044118245
LT01,0.6378667933866382
LT02,0.645496987303098
LU00,0.7152835570275784
PL22,0.6480224078521133
PL41,0.568564988921086
PL42,0.6404928361686567
PT18,0.46326710634554424
PT20,0.0
PT30,0.5544571593403816
RO11,0.5884015033642451
RO12,0.5224013151911397
RO21,0.4322732803411782
RO22,0.37963339885075886
RO31,0.41087816779812175
RO32,0.3866952379544576
ITH3,0.5319150678192576
ITH4,0.5908875485261281
ITH5,0.55962422080338
ITI1,0.6326926548965275
ITI2,0.6188455009212096
ITI3,0.5990158989404638
ITI4,0.6574831457808614
LI00,0.7500391681989034
FI1D,0.6407655214269956
TR82,0.5501922431091467
TR83,0.49828229074676833
TR90,0.6304771333932877
TRA1,0.48483075154945254
TRA2,0.47424019339183965
PL43,0.5824199940388401
PL51,0.6367385260760784
PL52,0.617739882444342
PL61,0.5591399587069948
PL62,0.6157008656611045
PL63,0.6410148393983642
PL71,0.5903627881780267
PL72,0.586810319374005
PL81,0.5946309175652762
PL82,0.6349112569044034
PL84,0.5953735394713779
PL91,0.6015582999835412
PL92,0.5859100241214037
PT11,0.6154067207748691
PT15,0.4283397135635217
TRB1,0.46954881337781745
