nuts,September Extreme Precipitation Days (days) (1981 - 2010)
DE50,0.6284601007898648
DE60,0.6497358798980712
DE71,0.5932879813015461
DE72,0.6302355421086152
DE73,0.6499239395062129
DE80,0.6058861971522371
DE91,0.6314769020924965
BG41,0.43798596697549025
BG42,0.37128429164489113
CH01,0.7453841441621383
AT32,0.7783387025197347
AT33,0.7886226035033663
AT34,0.7809782810509205
BE10,0.6000447000066439
BE23,0.6128173187375069
BE24,0.6139112402995427
BE25,0.6236592414478461
BE31,0.6250166227420171
BE32,0.6123328939080238
BE33,0.6843504483501116
BE34,0.6497534232834975
BE35,0.643862689162294
BG31,0.40593074094504117
BG32,0.39225499872118236
BG33,0.37644349740197264
BG34,0.35154634875555835
DE92,0.6466663787762325
DE93,0.6290703687816859
DE94,0.678835564913849
CZ07,0.5718008485933145
CZ08,0.615850933889548
AL01,0.4873163929829995
AL02,0.44989053905010223
AL03,0.4073566629861792
AT11,0.5035760489602884
AT12,0.5688621796667576
AT13,0.5083536158005396
AT21,0.6384351405625542
AT22,0.674904761215051
AT31,0.7014184061437845
DK05,0.6632156981776158
BE21,0.6285086249311765
BE22,0.6499849915504455
ES43,0.26610407180463275
ES51,0.5044020853936673
ES52,0.38798093361159164
ES53,0.3232831981033087
ES61,0.2471689934221407
ES62,0.2790348102028171
ES63,0.22219883501529694
ES64,0.2
CH02,0.7442667871713639
CH03,0.7033902491132419
CH04,0.6816497777899106
CH05,0.7226094290614128
CH06,0.8034316369642814
CH07,0.6785022174318631
CY00,0.06664408321181933
CZ01,0.5267223527034124
CZ02,0.5571854874491692
CZ03,0.5989317301039895
CZ04,0.6056712546696266
CZ05,0.6072723750645915
CZ06,0.5190569660936792
DE40,0.5685621031870445
EL53,0.3299912312378486
EL54,0.3713908240199089
EL61,0.2984535589814186
EL62,0.33887157489856085
EL63,0.34811082339535154
ES70,0.10737159742663303
ITC1,0.6171605083470543
ITC2,0.7421997142334779
DE11,0.6246537233392397
DE12,0.6274023335427046
DE13,0.6581888002033035
DE14,0.6690169478456179
DE21,0.7039482079446315
DE22,0.622208047658205
DE23,0.613834400785466
DE24,0.618306768933932
DE25,0.5938332565128803
DE26,0.6031797632575036
DE27,0.6870957124978304
DE30,0.5624999806284905
EL42,0.06446223814661305
LV00,0.658326551814874
ME00,0.5330652318273982
MK00,0.3660803678135077
MT00,0.23333333432674408
NL11,0.7086191028356552
NL12,0.7650951191782951
EL64,0.2608110478147864
EL65,0.21645836997777224
ES11,0.5047521987309058
ES12,0.6476155227671067
ES13,0.6410029087215662
ES21,0.5863039664924145
ES22,0.47199853261311847
ES23,0.442096724982063
ES24,0.40335586105162896
ES30,0.2922721770902475
IE05,0.6986410697301229
IE06,0.6599860818435749
IS00,0.9036648328105609
ITC3,0.5164413329213857
FI19,0.5943510535173118
FI1B,0.5940834327290455
FI1C,0.6130627611031135
DEA1,0.6811761068801085
DEA2,0.6903843269993861
DEA3,0.6793966718018055
DEA4,0.6866226817170779
DEA5,0.7419757634401322
DEB1,0.6287868477404117
DEB2,0.6183954273660978
DEB3,0.5806105479598045
DEC0,0.5999869088331858
DED2,0.6345623935262362
DED4,0.6547289141764243
DED5,0.5814263310283423
DEE0,0.5682735576604804
DEF0,0.6639862969517708
DEG0,0.6065010188147426
DK01,0.6350800318022569
DK02,0.6273253063981732
DK03,0.6722127528861165
DK04,0.6770764415462812
ES41,0.3773735948217412
ES42,0.300878271398445
HU23,0.45531131848692896
HU31,0.44484129870931305
HU32,0.4454724827160438
HU33,0.42262123941133417
IE04,0.8099904589354991
EE00,0.6870653831244756
EL30,0.12407940899332365
EL41,0.0997183457016945
EL43,0.11546652428805829
EL51,0.29143764295925695
EL52,0.33263452065487703
FI20,0.545052332058549
FR10,0.49359142233928044
FRB0,0.48238131739199164
FRC1,0.5508322612692912
FRC2,0.6440071823075414
FRD1,0.5743842831502358
FRD2,0.5714849233627319
FRE1,0.5968251895159483
FRE2,0.5506981570894519
FRF1,0.6413416927059491
NL13,0.6722248122096062
NL21,0.6843019937475522
NL22,0.6709122148652872
NL23,0.7229894233246644
NL31,0.6915965368350346
NL32,0.7738715489705403
ITG2,0.31943009067326783
ITH1,0.674417124936978
ITH2,0.6947777301073075
FRI3,0.45169054592649144
FRJ1,0.45748587750519315
FRJ2,0.5273921076208353
FRK1,0.5549635210074484
FRK2,0.5731139964734514
FRL0,0.4373851395212114
FRM0,0.3653757583349943
FRY1,0.0
FRY2,0.0
FRY3,0.0
FRY4,0.0
FRY5,0.0
TR31,0.14202479707698026
TR32,0.13618977051228284
TR33,0.17876181236157815
HR03,0.4715260817358891
HR02,0.5055575156584382
HU11,0.40831358134746554
HU12,0.416610536724329
HU21,0.4453783732528488
HU22,0.47076536851624645
PT16,0.3255382526665926
PT17,0.255542599161466
FRF2,0.5754402889559667
FRF3,0.6138402001932264
FRG0,0.46608551517128943
FRH0,0.5179020583940049
FRI1,0.5186211407495042
FRI2,0.5507889890422424
ITC4,0.5693732785681883
ITF1,0.5222074493765831
ITF2,0.4784793732066949
ITF3,0.47365574495246016
ITF4,0.3696617254366477
ITF5,0.4001074589788914
ITF6,0.43415214667717617
ITG1,0.3527035179237525
LT01,0.6315108775471647
LT02,0.6288958979615321
LU00,0.6177845075726509
PL22,0.6265363096569975
PL41,0.5637130736062924
PL42,0.65066969525069
PT18,0.25337132525940737
PT20,0.0
PT30,0.3434168482820193
RO11,0.5851261913776398
RO12,0.5887822633298735
RO21,0.4807862934966882
RO22,0.3617677059024572
RO31,0.41125917099416254
RO32,0.37665239746371904
ITH3,0.592975215613842
ITH4,0.6501981111864249
ITH5,0.4923306280747056
ITI1,0.48492151498794556
ITI2,0.5172789607197046
ITI3,0.5065123997628689
ITI4,0.5045363783215483
LI00,0.8167058328787485
FI1D,0.6362518900074065
TR82,0.4163183367190262
TR83,0.38191506896788874
TR90,0.7143110094591976
TRA1,0.34222636797154943
TRA2,0.403121992200613
PL43,0.5795190669596195
PL51,0.6078098093469938
PL52,0.5795785286774238
PL61,0.5601175596316655
PL62,0.6044796971604228
PL63,0.6534445992360512
PL71,0.5661595359444618
PL72,0.5876643530403575
PL81,0.5824895455812414
PL82,0.6248385677735011
PL84,0.5856966160237789
PL91,0.5636954220632712
PL92,0.565450947266072
PT11,0.37691330052912236
PT15,0.18993531105419
TRB1,0.15179955170800288
TRB2,0.18848964168379703
TRC1,0.09562266059219837
RS12,0.4184051075329383
RS21,0.5076210576420029
RS22,0.4261122618801892
SE11,0.5383810811986526
SE12,0.5565992729427914
NL33,0.7154141969978809
NL34,0.655383059134086
NL41,0.6507128801196813
NL42,0.658998953551054
PL21,0.6495381021251281
UKM6,0.9182871750866374
TR22,0.2138187286754449
TRC2,0.06809130270654956
TRC3,0.08218624408667287
UKC1,0.6245174626509349
UKC2,0.6360029439131419
UKD1,0.7733990566184124
UKD3,0.6999016955494881
UKD4,0.7603180766105652
UKD6,0.645282577474912
UKD7,0.7219826015333335
UKE1,0.558730569606026
UKE2,0.6257108328243096
UKE3,0.5698041945695878
RO41,0.44299425979455315
RO42,0.5217954646175106
RS11,0.4308532605568568
TR41,0.2514305727245907
TR42,0.40507886397341886
TR51,0.18547293928762276
TR52,0.14558393290887275
TR61,0.1853975435718894
TR62,0.25472287895778817
TR63,0.1811233464628458
TR71,0.1664873753984769
TR72,0.22387233846820892
TR81,0.46660958901047705
UKK1,0.5469894647598267
UKK2,0.583830613642931
UKK3,0.6315118440737327
UKK4,0.6188744538774092
UKL1,0.7422048103064298
UKL2,0.6474795994038384
UKM5,0.7320567256460587
UKM7,0.7455524398634831
UKM8,0.8237347513437271
UKM9,0.7747668022910754
UKN0,0.770621440683802
SE21,0.5787490504949043
SE22,0.5992867899437745
SE23,0.6422902774065733
SE31,0.5999648192276558
SE32,0.6798995332947622
SE33,0.6611980569859346
SI03,0.5568499299387137
SI04,0.5963880981008212
SK01,0.46967260017991064
SK02,0.49014505594968794
SK03,0.57714005690068
SK04,0.5668519876897335
TR10,0.3466042663902044
TR21,0.25068010911345484
UKE4,0.6205281272530556
UKF1,0.5598602622747422
UKF2,0.5333239948997895
UKF3,0.546627921362718
UKG1,0.543980535119772
UKG2,0.5843459536631902
UKG3,0.5499684085448583
UKH1,0.568756814301014
UKH2,0.5111111424863338
UKH3,0.5333218137423198
UKI3,0.5
UKI4,0.5
UKI5,0.5066446353991826
UKI6,0.5167121767997742
UKI7,0.5110703359047571
UKJ1,0.5226566510895888
UKJ2,0.5474039496233066
UKJ3,0.5445806877066691
UKJ4,0.5705775791158278
NO09,0.7192157101506989
NO0A,0.9427637754939496
NO0B,0.7037037218610446
HR05,0.5222138643264771
HR06,0.5073754731565714
NO02,0.7038659088934461
NO06,0.8982490343973041
NO07,0.8460184738039971
NO08,0.6471507350603739
