nuts,Annual Snowfall amount (mm) ensemble median - RCP8.5 - (2011 - 2040)
BG423,
BG424,
BG425,
CH011,
CH012,
CH013,
CH021,
CH022,
CH023,
CH024,
CH025,
CH031,
CH032,
CH033,
CH040,
CH051,
CH052,
CH053,
CH054,
CH055,
CH056,
CH057,
CH061,
CH062,
AL013,
AL015,4.97078800201416
AL014,0.18016430735588074
AL011,
AL012,1.1994578838348389
AL021,2.5933706760406494
AL022,0.5648406744003296
AL034,
AL031,2.5099644660949707
AL032,2.0457005500793457
AL035,1.752165675163269
AL033,
AT111,
AT112,
AT113,
AT121,
AT122,
AT123,
AT124,
AT125,
AT126,
AT127,
AT130,
AT211,
AT212,
AT213,
AT221,
AT222,
AT223,
AT224,
AT225,
AT226,
AT311,
AT312,
AT313,
AT314,
AT315,
AT321,
AT322,
AT323,
AT331,
AT332,
AT333,
AT334,
AT335,
AT341,
AT342,
BE100,
BE211,18.850038528442383
BE212,15.61883544921875
BE213,15.906320571899414
BE224,
BE225,
BE223,
BE231,20.640411376953125
BE232,12.346927642822266
BE233,12.02928352355957
BE234,11.296679496765137
BE235,13.38851547241211
BE236,13.119440078735352
BE241,24.74911117553711
BE242,16.03017807006836
BE251,13.313482284545898
BE252,4.299514293670654
BE253,10.270201683044434
BE254,10.451294898986816
BE255,9.500693321228027
BE256,10.220138549804688
BE257,11.162287712097168
BE258,8.163338661193848
BE310,
BE32A,
BE32B,
BE323,
BE328,8.110236167907715
BE32C,
BE32D,
BE331,
BE332,
BE334,
BE335,
BE336,
BE341,
BE342,
BE343,
BE344,
BE345,
BE351,
BE352,
BE353,
BG311,
BG312,
BG313,
BG314,
BG315,
BG321,
BG322,
BG323,
BG324,
BG325,
BG331,
BG332,
BG333,
BG334,
BG341,
BG342,
BG343,
BG344,
BG411,
BG412,
BG413,
BG414,
BG415,
BG421,
BG422,
DE736,
DE737,
DE803,26.4637393951416
DE804,27.87788200378418
DE80J,
DE80K,25.031354904174805
DE80L,21.47530174255371
DE80M,29.597187042236328
DE80N,25.727014541625977
DE80O,32.56215286254883
DE911,
DE912,
DE913,
DE914,
DE916,
DE917,
DE918,
DE91A,
DE91B,
DE91C,
DE922,26.09901237487793
DE923,
DE925,
DE926,
DE927,34.02626419067383
DE928,
CH063,
CH064,
CH065,
CH066,
DE40B,
DE40C,
DE40D,
DE40E,
DE40F,
DE40G,
DE40H,
DE40I,
DE501,19.13663673400879
DE502,17.674650192260742
DE600,20.54816436767578
DE711,
DE712,
DE713,
DE714,
DE715,
DE716,
DE717,
DE718,
DE719,
DE71A,
DE71B,
DE71C,
DE71D,
DE71E,
DE721,
DE722,
DE723,
DE724,
DE725,
DE731,
DE732,
DE929,
DE931,
DE11A,
DE11B,
DE11C,
DE11D,
DE121,
DE122,
DE123,
DE124,
DE125,
DE126,
DE127,
DE128,
DE129,
DE12A,
DE12B,
DE12C,
DE131,
DE132,
DE133,
DE134,
DE135,
DE136,
DE137,
DE138,
DE139,
DE13A,
DE141,
DE142,
DE143,
DE144,
DE145,
DE146,
DE147,
DE148,
DE149,
DE211,
DE212,
DE213,
DE214,
DE215,
DE216,
DE217,
DE218,
DE219,
DE21A,
DE21B,
DE21C,
DE21D,
DE21E,
DE21F,
DE21G,
DE21H,
DE21I,
DE21J,
DE21K,
DE21L,
DE21M,
DE21N,
DE221,
DE222,
DE223,
DE224,
DE225,
DE226,
DE227,
DE228,
DE229,
DE22A,
DE22B,
DE22C,
DE231,
DE232,
DE233,
CH070,
CY000,
CZ010,
CZ020,
CZ031,
CZ032,
CZ041,
CZ042,
CZ051,
CZ052,
CZ053,
CZ063,
CZ064,
CZ071,
CZ072,
CZ080,
DE111,
DE112,
DE113,
DE114,
DE115,
DE116,
DE117,
DE118,
DE119,
DE264,
DE265,
DE266,
DE267,
DE268,
DE269,
DE26A,
DE26B,
DE26C,
DE271,
DE272,
DE273,
DE274,
DE275,
DE276,
DE277,
DE278,
DE279,
DE27A,
DE27B,
DE27C,
DE27D,
DE27E,
DE300,30.217201232910156
DE401,27.61397933959961
DE402,
DE403,
DE404,28.876588821411133
DE405,
DE406,
DE407,
DE408,21.90997314453125
DE409,43.68622589111328
DE40A,
DE234,
DE235,
DE236,
DE237,
DE238,
DE239,
DE23A,
DE241,
DE242,
DE243,
DE244,
DE245,
DE246,
DE247,
DE248,
DE249,
DE24A,
DE24B,
DE24C,
DE24D,
DE251,
DE252,
DE253,
DE254,
DE255,
DE256,
DE257,
DE258,
DE259,
DE25A,
