nuts,altitude,Annual Snowfall amount (mm) (1981 - 2010)
BG423,0,
BG424,0,
BG425,0,
CH011,0,
CH012,0,
CH013,0,
CH021,0,
CH022,0,
CH023,0,
CH024,0,
CH025,0,
CH031,0,
CH032,0,
CH033,0,
CH040,0,
CH051,0,
CH052,0,
CH053,0,
CH054,0,
CH055,0,
CH056,0,
CH057,0,
CH061,0,
CH062,0,
AL013,0,
AL015,0,11.825563
AL014,0,0.13547577
AL011,0,
AL012,0,2.2540677
AL021,0,3.0297275
AL022,0,2.2540677
AL034,0,
AL031,0,2.5814018
AL032,0,2.58393
AL035,0,2.58393
AL033,0,
AT111,0,
AT112,0,
AT113,0,
AT121,0,
AT122,0,
AT123,0,
AT124,0,
AT125,0,
AT126,0,
AT127,0,
AT130,0,
AT211,0,
AT212,0,
AT213,0,
AT221,0,
AT222,0,
AT223,0,
AT224,0,
AT225,0,
AT226,0,
AT311,0,
AT312,0,
AT313,0,
AT314,0,
AT315,0,
AT321,0,
AT322,0,
AT323,0,
AT331,0,
AT332,0,
AT333,0,
AT334,0,
AT335,0,
AT341,0,
AT342,0,
BE100,0,
BE211,0,19.57913
BE212,0,17.380585
BE213,0,16.52224
BE224,0,
BE225,0,
BE223,0,
BE231,0,22.892698
BE232,0,14.453034
BE233,0,14.7467165
BE234,0,12.744186
BE235,0,15.823492
BE236,0,15.482406
BE241,0,29.1162
BE242,0,14.930917
BE251,0,15.231448
BE252,0,4.9542875
BE253,0,11.359682
BE254,0,10.763015
BE255,0,12.583128
BE256,0,12.518758
BE257,0,13.250612
BE258,0,10.3529625
BE310,0,
BE32A,0,
BE32B,0,
BE323,0,
BE328,0,10.242377
BE32C,0,
BE32D,0,
BE331,0,
BE332,0,
BE334,0,
BE335,0,
BE336,0,
BE341,0,
BE342,0,
BE343,0,
BE344,0,
BE345,0,
BE351,0,
BE352,0,
BE353,0,
BG311,0,
BG312,0,
BG313,0,
BG314,0,
BG315,0,
BG321,0,
BG322,0,
BG323,0,
BG324,0,
BG325,0,
BG331,0,
BG332,0,
BG333,0,
BG334,0,
BG341,0,
BG342,0,
BG343,0,
BG344,0,
BG411,0,
BG412,0,
BG413,0,
BG414,0,
BG415,0,
BG421,0,
BG422,0,
DE736,0,
DE737,0,
DE803,0,33.06168
DE804,0,29.857344
DE80J,0,
DE80K,0,27.597843
DE80L,0,23.675604
DE80M,0,30.730022
DE80N,0,26.741066
DE80O,0,35.685123
DE911,0,
DE912,0,
DE913,0,
DE914,0,
DE916,0,
DE917,0,
DE918,0,
DE91A,0,
DE91B,0,
DE91C,0,
DE922,0,30.200836
DE923,0,
DE925,0,
DE926,0,
DE927,0,42.334827
DE928,0,
CH063,0,
CH064,0,
CH065,0,
CH066,0,
DE40B,0,
DE40C,0,
DE40D,0,
DE40E,0,
DE40F,0,
DE40G,0,
DE40H,0,
DE40I,0,
DE501,0,20.791811
DE502,0,20.508455
DE600,0,22.170898
DE711,0,
DE712,0,
DE713,0,
DE714,0,
DE715,0,
DE716,0,
DE717,0,
DE718,0,
DE719,0,
DE71A,0,
DE71B,0,
DE71C,0,
DE71D,0,
DE71E,0,
DE721,0,
DE722,0,
DE723,0,
DE724,0,
DE725,0,
DE731,0,
DE732,0,
DE929,0,
DE931,0,
DE11A,0,
DE11B,0,
DE11C,0,
DE11D,0,
DE121,0,
DE122,0,
DE123,0,
DE124,0,
DE125,0,
DE126,0,
DE127,0,
DE128,0,
DE129,0,
DE12A,0,
DE12B,0,
DE12C,0,
DE131,0,
DE132,0,
DE133,0,
DE134,0,
DE135,0,
DE136,0,
DE137,0,
DE138,0,
DE139,0,
DE13A,0,
DE141,0,
DE142,0,
DE143,0,
DE144,0,
DE145,0,
DE146,0,
DE147,0,
DE148,0,
DE149,0,
DE211,0,
DE212,0,
DE213,0,
DE214,0,
DE215,0,
DE216,0,
DE217,0,
DE218,0,
DE219,0,
DE21A,0,
DE21B,0,
DE21C,0,
DE21D,0,
DE21E,0,
DE21F,0,
DE21G,0,
DE21H,0,
DE21I,0,
DE21J,0,
DE21K,0,
DE21L,0,
DE21M,0,
DE21N,0,
DE221,0,
DE222,0,
DE223,0,
DE224,0,
DE225,0,
DE226,0,
DE227,0,
DE228,0,
DE229,0,
DE22A,0,
DE22B,0,
DE22C,0,
DE231,0,
DE232,0,
DE233,0,
CH070,0,
CY000,0,
CZ010,0,
CZ020,0,
CZ031,0,
CZ032,0,
CZ041,0,
CZ042,0,
CZ051,0,
CZ052,0,
CZ053,0,
CZ063,0,
CZ064,0,
CZ071,0,
CZ072,0,
CZ080,0,
DE111,0,
DE112,0,
DE113,0,
DE114,0,
DE115,0,
DE116,0,
DE117,0,
DE118,0,
DE119,0,
DE264,0,
DE265,0,
DE266,0,
DE267,0,
DE268,0,
DE269,0,
DE26A,0,
DE26B,0,
DE26C,0,
DE271,0,
DE272,0,
DE273,0,
DE274,0,
DE275,0,
DE276,0,
DE277,0,
DE278,0,
DE279,0,
DE27A,0,
DE27B,0,
DE27C,0,
DE27D,0,
DE27E,0,
DE300,0,32.245373
DE401,0,27.899748
DE402,0,
DE403,0,
DE404,0,28.693096
DE405,0,
DE406,0,
DE407,0,
DE408,0,22.51928
DE409,0,49.714153
DE40A,0,
DE234,0,
DE235,0,
DE236,0,
DE237,0,
DE238,0,
DE239,0,
DE23A,0,
DE241,0,
DE242,0,
DE243,0,
DE244,0,
DE245,0,
DE246,0,
DE247,0,
DE248,0,
DE249,0,
DE24A,0,
DE24B,0,
DE24C,0,
DE24D,0,
DE251,0,
DE252,0,
DE253,0,
DE254,0,
DE255,0,
DE256,0,
DE257,0,
DE258,0,
DE259,0,
DE25A,0,
DE25B,0,
DE25C,0,
DE261,0,
DE262,0,
DE263,0,
DE932,0,20.49473
DE933,0,35.8372
DE934,0,26.982964
DE935,0,30.68846
DE936,0,22.352165
DE937,0,28.882816
DE938,0,
DE939,0,23.140862
DE93A,0,
DE93B,0,29.736986
DE941,0,19.847385
DE942,0,22.469997
DE943,0,29.491915
DE944,0,
DE945,0,15.285443
DE946,0,30.442217
DE947,0,35.74574
DE948,0,38.72185
DE949,0,33.677914
DE94A,0,26.191395
DE94B,0,25.264376
DE94C,0,34.766838
DE94D,0,27.775747
DE94E,0,
DE94F,0,32.959618
DE94G,0,25.963558
DE94H,0,37.10093
DEA11,0,26.76224
DEA12,0,19.248148
DEA13,0,
DEA14,0,17.301487
DE733,0,
DE734,0,
DE735,0,
DEA53,0,
DEA54,0,
DEA55,0,
DEA56,0,
DEA57,0,
DEA58,0,
DEA59,0,
DEA5A,0,
DEA5B,0,
DEA5C,0,
DEB11,0,
DEB12,0,
DEB13,0,
DEB14,0,
DEB15,0,
DEB17,0,
DEB18,0,
DEB1A,0,
DEB1B,0,
DEB1C,0,
DEB1D,0,
DEB21,0,
DEB22,0,
DEB23,0,
DEB24,0,
DEB25,0,
DEB31,0,
DEB32,0,
DEB33,0,
DEB34,0,
DEB35,0,
DEB36,0,
DEB37,0,
DEB38,0,
DEB39,0,
DEB3A,0,
DEB3B,0,
